Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
3(369)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network,  31,  7,  9,  137, 1, 3, 492452, 14505.53, 0, 0.00, 1: 73; 2: 26; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 967, 10,  6,  165, 1, 6, 473660, 14505.53, 1, 64.16, 1: 60; 2: 32; 3: 7; 4: 1; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 428,  6, 10,  165, 1, 6, 473616, 14505.53, 1, 64.16, 1: 64; 2: 23; 3: 12; 4: 2; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 353, 10,  6,  166, 1, 6, 473146, 14505.53, 1, 64.16, 1: 60; 2: 31; 3: 8; 4: 1; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 870,  7,  8,  166, 1, 6, 443520, 14505.53, 1, 64.16, 1: 56; 2: 36; 3: 8; 4: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 996,  4, 14,  167, 1, 6, 443520, 14505.53, 0, 64.16, 1: 59; 2: 28; 3: 14; 4: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 216,  6, 10,  167, 1, 6, 473786, 14505.53, 0, 64.16, 1: 56; 2: 36; 3: 8; 4: 1; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 691, 10,  6,  168, 1, 6, 473584, 14505.53, 0, 64.16, 1: 60; 2: 27; 3: 13; 4: 1; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 486, 10,  6,  168, 1, 6, 473771, 14505.53, 1, 64.16, 1: 64; 2: 22; 3: 11; 4: 4; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 698,  6, 10,  168, 1, 6, 473562, 14505.53, 1, 64.16, 1: 59; 2: 33; 3: 5; 4: 3; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 487,  5, 12,  168, 1, 6, 473471, 14505.53, 1, 64.16, 1: 61; 2: 28; 3: 8; 4: 4; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 957,  6, 10,  168, 1, 6, 473475, 14505.53, 1, 64.16, 1: 60; 2: 30; 3: 7; 4: 4; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 746, 10,  6,  168, 1, 6, 473563, 14505.53, 1, 64.16, 1: 57; 2: 32; 3: 11; 4: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 608,  6, 10,  169, 1, 6, 473486, 14505.53, 1, 64.16, 1: 63; 2: 27; 3: 5; 4: 4; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  68,  5, 12,  169, 1, 6, 473253, 14505.53, 1, 64.16, 1: 56; 2: 34; 3: 9; 4: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 211,  6, 10,  169, 1, 6, 473579, 14505.53, 1, 64.16, 1: 58; 2: 30; 3: 11; 4: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 643,  6, 10,  170, 1, 6, 473230, 14505.53, 1, 64.16, 1: 57; 2: 32; 3: 11; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 543,  7,  8,  170, 1, 6, 443520, 14505.53, 1, 64.16, 1: 57; 2: 34; 3: 6; 4: 4; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 263, 10,  6,  170, 1, 6, 473026, 14505.53, 1, 64.16, 1: 62; 2: 25; 3: 10; 4: 3; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 999,  6, 10,  171, 1, 6, 473129, 14505.53, 1, 64.16, 1: 60; 2: 29; 3: 8; 4: 3; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 949,  6, 10,  171, 1, 6, 473527, 14505.53, 1, 64.16, 1: 59; 2: 29; 3: 8; 4: 6; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  17, 10,  6,  171, 1, 6, 473387, 14505.53, 1, 64.16, 1: 66; 2: 22; 3: 6; 4: 4; 5: 3; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 988,  7,  8,  171, 1, 6, 443520, 14505.53, 1, 64.16, 1: 56; 2: 33; 3: 9; 4: 4; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 907, 10,  6,  171, 1, 6, 473443, 14505.53, 1, 64.16, 1: 61; 2: 27; 3: 9; 4: 3; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network,  77, 10,  6,  171, 1, 6, 473900, 14505.53, 1, 64.16, 1: 62; 2: 26; 3: 8; 4: 4; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 504,  7,  8,  171, 1, 6, 443520, 14505.53, 1, 64.16, 1: 57; 2: 33; 3: 7; 4: 4; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 137,  7,  8,  172, 1, 6, 443520, 14505.53, 1, 64.16, 1: 59; 2: 29; 3: 8; 4: 5; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 206,  7,  8,  172, 1, 6, 443520, 14505.53, 1, 64.16, 1: 60; 2: 28; 3: 7; 4: 6; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 157,  6, 10,  172, 1, 6, 473490, 14505.53, 1, 64.16, 1: 58; 2: 29; 3: 10; 4: 5; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 121,  7,  8,  172, 1, 6, 443520, 14505.53, 1, 64.16, 1: 56; 2: 33; 3: 9; 4: 3; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 659, 10,  6,  172, 1, 6, 473223, 14505.53, 1, 64.16, 1: 55; 2: 33; 3: 12; 4: 1; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 779,  7,  8,  172, 1, 6, 443520, 14505.53, 1, 64.16, 1: 60; 2: 25; 3: 12; 4: 5; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 450,  7,  8,  172, 1, 6, 443520, 14505.53, 1, 64.16, 1: 57; 2: 31; 3: 10; 4: 3; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 345,  6, 10,  172, 1, 6, 473267, 14505.53, 1, 64.16, 1: 58; 2: 28; 3: 12; 4: 4; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  21,  6, 10,  172, 1, 6, 473160, 14505.53, 1, 64.16, 1: 58; 2: 27; 3: 14; 4: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 780,  6, 10,  173, 1, 6, 473490, 14505.53, 1, 64.16, 1: 60; 2: 29; 3: 6; 4: 5; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 725,  6, 10,  173, 1, 6, 473610, 14505.53, 1, 64.16, 1: 61; 2: 24; 3: 12; 4: 3; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 371,  4, 14,  173, 1, 6, 443520, 14505.53, 1, 64.16, 1: 64; 2: 22; 3: 8; 4: 5; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  47,  6, 10,  173, 1, 6, 473181, 14505.53, 1, 64.16, 1: 56; 2: 31; 3: 11; 4: 4; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 309,  6, 10,  173, 1, 6, 473747, 14505.53, 1, 64.16, 1: 62; 2: 23; 3: 11; 4: 4; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 204, 10,  6,  173, 1, 6, 473189, 14505.53, 1, 64.16, 1: 62; 2: 26; 3: 6; 4: 6; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 631,  6, 10,  173, 1, 6, 473231, 14505.53, 1, 64.16, 1: 61; 2: 24; 3: 11; 4: 5; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 436,  7,  8,  173, 1, 6, 443520, 14505.53, 1, 64.16, 1: 59; 2: 27; 3: 11; 4: 4; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 886,  6, 10,  174, 1, 6, 473461, 14505.53, 1, 64.16, 1: 60; 2: 25; 3: 12; 4: 3; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 471, 10,  6,  174, 1, 6, 473327, 14505.53, 1, 64.16, 1: 59; 2: 27; 3: 10; 4: 5; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 934,  5, 12,  174, 1, 6, 473558, 14505.53, 1, 64.16, 1: 55; 2: 35; 3: 7; 4: 4; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 191, 10,  6,  174, 1, 6, 473380, 14505.53, 1, 64.16, 1: 61; 2: 25; 3: 10; 4: 3; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 168,  6, 10,  174, 1, 6, 473654, 14505.53, 1, 64.16, 1: 60; 2: 26; 3: 11; 4: 2; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 176,  5, 12,  174, 1, 6, 472944, 14505.53, 1, 64.16, 1: 60; 2: 28; 3: 5; 4: 8; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 812,  6, 10,  174, 1, 6, 473479, 14505.53, 1, 64.16, 1: 59; 2: 29; 3: 7; 4: 5; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 707, 10,  6,  174, 1, 6, 473521, 14505.53, 1, 64.16, 1: 63; 2: 22; 3: 11; 4: 3; 5: 2; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 815, 10,  6,  174, 1, 6, 473453, 14505.53, 1, 64.16, 1: 57; 2: 31; 3: 8; 4: 5; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 117, 10,  6,  174, 1, 6, 473225, 14505.53, 1, 64.16, 1: 58; 2: 27; 3: 12; 4: 5; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 240,  4, 14,  174, 1, 6, 443520, 14505.53, 1, 64.16, 1: 61; 2: 25; 3: 8; 4: 7; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 781,  4, 14,  174, 1, 6, 443520, 14505.53, 1, 64.16, 1: 58; 2: 30; 3: 8; 4: 4; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 783,  5, 12,  174, 1, 6, 472874, 14505.53, 1, 64.16, 1: 56; 2: 32; 3: 9; 4: 4; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 928,  7,  8,  175, 1, 6, 443520, 14505.53, 1, 64.16, 1: 56; 2: 32; 3: 9; 4: 3; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 342, 10,  6,  175, 1, 6, 472840, 14505.53, 1, 64.16, 1: 59; 2: 27; 3: 10; 4: 5; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 585,  7,  8,  175, 1, 6, 443520, 14505.53, 1, 64.16, 1: 55; 2: 34; 3: 8; 4: 3; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 658,  6, 10,  175, 1, 6, 473644, 14505.53, 1, 64.16, 1: 58; 2: 31; 3: 6; 4: 4; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 851,  4, 14,  175, 1, 6, 443520, 14505.53, 1, 64.16, 1: 61; 2: 23; 3: 11; 4: 6; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 687,  6, 10,  175, 1, 6, 473393, 14505.53, 1, 64.16, 1: 55; 2: 35; 3: 6; 4: 4; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 340,  7,  8,  175, 1, 6, 443520, 14505.53, 1, 64.16, 1: 57; 2: 29; 3: 12; 4: 2; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 952,  6, 10,  175, 1, 6, 473436, 14505.53, 1, 64.16, 1: 60; 2: 26; 3: 10; 4: 3; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 709, 10,  6,  175, 1, 6, 473486, 14505.53, 1, 64.16, 1: 58; 2: 32; 3: 6; 4: 2; 5: 3; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 358,  6, 10,  175, 1, 6, 473743, 14505.53, 1, 64.16, 1: 56; 2: 33; 3: 8; 4: 2; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 499,  5, 12,  175, 1, 6, 473347, 14505.53, 1, 64.16, 1: 58; 2: 28; 3: 11; 4: 4; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 551,  7,  8,  175, 1, 6, 443520, 14505.53, 1, 64.16, 1: 57; 2: 31; 3: 8; 4: 4; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 501,  7,  8,  175, 1, 6, 443520, 14505.53, 1, 64.16, 1: 54; 2: 34; 3: 9; 4: 5; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 509,  4, 14,  175, 1, 6, 443520, 14505.53, 1, 64.16, 1: 59; 2: 27; 3: 11; 4: 2; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 638,  4, 14,  176, 1, 6, 443520, 14505.53, 1, 64.16, 1: 58; 2: 28; 3: 9; 4: 6; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 390, 10,  6,  176, 1, 6, 473520, 14505.53, 1, 64.16, 1: 60; 2: 24; 3: 12; 4: 4; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 413,  6, 10,  176, 1, 6, 473307, 14505.53, 1, 64.16, 1: 59; 2: 25; 3: 12; 4: 5; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 332,  5, 12,  176, 1, 6, 473411, 14505.53, 1, 64.16, 1: 59; 2: 26; 3: 13; 4: 2; 6: 3; 
MAPK_Cancer_Cell_Fate_Network, 197,  5, 12,  176, 1, 6, 473181, 14505.53, 1, 64.16, 1: 58; 2: 29; 3: 8; 4: 5; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 684,  5, 11,  176, 1, 6, 435105, 14505.53, 1, 64.16, 1: 57; 2: 30; 3: 9; 4: 4; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 814,  6, 10,  176, 1, 6, 472957, 14505.53, 1, 64.16, 1: 59; 2: 27; 3: 9; 4: 5; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  95,  6, 10,  176, 1, 6, 473677, 14505.53, 1, 64.16, 1: 57; 2: 30; 3: 9; 4: 5; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 548,  5, 11,  176, 1, 6, 435105, 14505.53, 1, 64.16, 1: 54; 2: 33; 3: 10; 4: 5; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 516,  8,  7,  176, 1, 6, 443520, 14505.53, 1, 64.16, 1: 54; 2: 33; 3: 10; 4: 5; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 610,  4, 14,  176, 1, 6, 443520, 14505.53, 1, 64.16, 1: 57; 2: 30; 3: 10; 4: 3; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 319,  7,  8,  177, 1, 6, 443520, 14505.53, 1, 64.16, 1: 56; 2: 31; 3: 10; 4: 2; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 278,  5, 12,  177, 1, 6, 473269, 14505.53, 1, 64.16, 1: 55; 2: 30; 3: 13; 4: 3; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 877,  5, 12,  177, 1, 6, 473551, 14505.53, 1, 64.16, 1: 59; 2: 27; 3: 8; 4: 6; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 265, 10,  6,  177, 1, 6, 473497, 14505.53, 1, 64.16, 1: 56; 2: 30; 3: 11; 4: 3; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 913,  6, 10,  177, 1, 6, 473536, 14505.53, 1, 64.16, 1: 55; 2: 32; 3: 10; 4: 3; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 244,  7,  8,  177, 1, 6, 443520, 14505.53, 1, 64.16, 1: 58; 2: 29; 3: 9; 4: 3; 5: 2; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 915,  4, 14,  177, 1, 6, 443520, 14505.53, 1, 64.16, 1: 57; 2: 31; 3: 8; 4: 2; 5: 4; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 229,  7,  8,  177, 1, 6, 443520, 14505.53, 1, 64.16, 1: 56; 2: 32; 3: 9; 4: 2; 5: 2; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 217,  7,  8,  177, 1, 6, 443520, 14505.53, 1, 64.16, 1: 58; 2: 28; 3: 8; 4: 7; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 948,  5, 12,  177, 1, 6, 473448, 14505.53, 1, 64.16, 1: 55; 2: 33; 3: 10; 4: 1; 5: 2; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 135,  7,  9,  177, 1, 6, 492777, 14505.53, 1, 64.16, 1: 57; 2: 31; 3: 7; 4: 5; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 710,  8,  7,  177, 1, 6, 443520, 14505.53, 1, 64.16, 1: 52; 2: 37; 3: 8; 4: 4; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  29,  4, 14,  177, 1, 6, 443520, 14505.53, 1, 64.16, 1: 55; 2: 32; 3: 10; 4: 3; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 995,  5, 12,  177, 1, 6, 473182, 14505.53, 1, 64.16, 1: 60; 2: 24; 3: 10; 4: 7; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 750,  5, 12,  177, 1, 6, 473592, 14505.53, 1, 64.16, 1: 56; 2: 31; 3: 7; 4: 8; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 414,  4, 14,  177, 1, 6, 443520, 14505.53, 1, 64.16, 1: 54; 2: 31; 3: 13; 4: 4; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 519,  4, 14,  177, 1, 6, 443520, 14505.53, 1, 64.16, 1: 57; 2: 27; 3: 13; 4: 4; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 553,  6, 10,  177, 1, 6, 473594, 14505.53, 1, 64.16, 1: 55; 2: 34; 3: 7; 4: 4; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 799, 10,  6,  177, 1, 6, 473611, 14505.53, 1, 64.16, 1: 59; 2: 28; 3: 8; 4: 4; 5: 2; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 446,  5, 12,  177, 1, 6, 473512, 14505.53, 1, 64.16, 1: 56; 2: 29; 3: 13; 4: 2; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 457,  6, 10,  177, 1, 6, 473772, 14505.53, 1, 64.16, 1: 58; 2: 25; 3: 14; 4: 4; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 461,  4, 14,  177, 1, 6, 443520, 14505.53, 1, 64.16, 1: 59; 2: 22; 3: 16; 4: 5; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 469,  6, 10,  177, 1, 6, 473502, 14505.53, 1, 64.16, 1: 57; 2: 30; 3: 7; 4: 7; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 572,  4, 14,  178, 1, 6, 443520, 14505.53, 1, 64.16, 1: 55; 2: 30; 3: 11; 4: 6; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 829,  7,  9,  178, 1, 6, 491955, 14505.53, 1, 64.16, 1: 49; 2: 41; 3: 7; 4: 5; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 860,  6, 10,  178, 1, 6, 472597, 14505.53, 1, 64.16, 1: 56; 2: 28; 3: 14; 4: 2; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  19,  5, 12,  178, 1, 6, 473450, 14505.53, 1, 64.16, 1: 55; 2: 31; 3: 10; 4: 5; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 979,  4, 14,  178, 1, 6, 443520, 14505.53, 1, 64.16, 1: 60; 2: 22; 3: 13; 4: 6; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  13,  4, 14,  178, 1, 6, 443520, 14505.53, 1, 64.16, 1: 50; 2: 41; 3: 6; 4: 3; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 292,  6, 10,  178, 1, 6, 473447, 14505.53, 1, 64.16, 1: 55; 2: 31; 3: 10; 4: 5; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 765,  5, 13,  178, 1, 6, 505522, 14505.53, 1, 64.16, 1: 53; 2: 36; 3: 6; 4: 6; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 511,  4, 14,  178, 1, 6, 443520, 14505.53, 1, 64.16, 1: 59; 2: 23; 3: 15; 4: 3; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 338,  7,  8,  178, 1, 6, 443520, 14505.53, 1, 64.16, 1: 59; 2: 25; 3: 14; 4: 1; 5: 1; 6: 3; 
MAPK_Cancer_Cell_Fate_Network, 879,  4, 14,  178, 1, 6, 443520, 14505.53, 1, 64.16, 1: 57; 2: 29; 3: 10; 4: 3; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 620,  8,  7,  178, 1, 6, 443520, 14505.53, 1, 64.16, 1: 55; 2: 33; 3: 8; 4: 3; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 618,  5, 12,  178, 1, 6, 473287, 14505.53, 1, 64.16, 1: 56; 2: 29; 3: 11; 4: 5; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 492,  5, 11,  179, 1, 6, 435105, 14505.53, 1, 64.16, 1: 53; 2: 36; 3: 5; 4: 7; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  90,  8,  7,  179, 1, 6, 443520, 14505.53, 1, 64.16, 1: 53; 2: 32; 3: 13; 4: 3; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 238,  5, 12,  179, 1, 6, 473498, 14505.53, 1, 64.16, 1: 60; 2: 23; 3: 12; 4: 5; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network,  25,  4, 14,  179, 1, 6, 443520, 14505.53, 1, 64.16, 1: 59; 2: 26; 3: 8; 4: 7; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 583,  4, 14,  179, 1, 6, 443520, 14505.53, 1, 64.16, 1: 58; 2: 29; 3: 7; 4: 5; 5: 2; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 407,  5, 12,  179, 1, 6, 473735, 14505.53, 1, 64.16, 1: 53; 2: 33; 3: 12; 4: 2; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 228,  7,  9,  179, 1, 6, 492705, 14505.53, 1, 64.16, 1: 54; 2: 33; 3: 8; 4: 6; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 259,  4, 14,  179, 1, 6, 443520, 14505.53, 1, 64.16, 1: 59; 2: 25; 3: 12; 4: 2; 5: 4; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 832,  7,  8,  179, 1, 6, 443520, 14505.53, 1, 64.16, 1: 57; 2: 29; 3: 8; 4: 6; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 718,  6, 10,  179, 1, 6, 473305, 14505.53, 1, 64.16, 1: 54; 2: 32; 3: 11; 4: 3; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 266,  7,  8,  179, 1, 6, 443520, 14505.53, 1, 64.16, 1: 56; 2: 30; 3: 9; 4: 5; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 359,  7,  9,  179, 1, 6, 492767, 14505.53, 1, 64.16, 1: 49; 2: 40; 3: 8; 4: 5; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 925, 10,  6,  179, 1, 6, 473575, 14505.53, 1, 64.16, 1: 61; 2: 23; 3: 10; 4: 5; 5: 2; 6: 2; 
MAPK_Cancer_Cell_Fate_Network,  48,  4, 14,  179, 1, 6, 443520, 14505.53, 1, 64.16, 1: 56; 2: 28; 3: 13; 4: 3; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 892,  4, 14,  179, 1, 6, 443520, 14505.53, 1, 64.16, 1: 59; 2: 25; 3: 11; 4: 5; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 138,  7,  8,  179, 1, 6, 443520, 14505.53, 1, 64.16, 1: 55; 2: 31; 3: 11; 4: 2; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 668,  5, 12,  180, 1, 6, 473702, 14505.53, 1, 64.16, 1: 58; 2: 27; 3: 8; 4: 7; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 982,  6, 10,  180, 1, 6, 473612, 14505.53, 1, 64.16, 1: 55; 2: 29; 3: 13; 4: 4; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 716,  7,  8,  180, 1, 6, 443520, 14505.53, 1, 64.16, 1: 55; 2: 31; 3: 8; 4: 7; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 968,  5, 13,  180, 1, 6, 504457, 14505.53, 1, 64.16, 1: 54; 2: 32; 3: 10; 4: 4; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 225,  4, 14,  180, 1, 6, 443520, 14505.53, 1, 64.16, 1: 59; 2: 24; 3: 13; 4: 2; 5: 4; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 348,  4, 14,  180, 1, 6, 443520, 14505.53, 1, 64.16, 1: 58; 2: 25; 3: 11; 4: 7; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 468,  4, 14,  180, 1, 6, 443520, 14505.53, 1, 64.16, 1: 58; 2: 28; 3: 8; 4: 4; 5: 4; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  71,  7,  9,  180, 1, 6, 493115, 14505.53, 1, 64.16, 1: 54; 2: 32; 3: 10; 4: 4; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 730,  7,  8,  180, 1, 6, 443520, 14505.53, 1, 64.16, 1: 53; 2: 33; 3: 10; 4: 5; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 477,  7,  8,  180, 1, 6, 443520, 14505.53, 1, 64.16, 1: 59; 2: 27; 3: 7; 4: 5; 5: 4; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 969,  7,  8,  180, 1, 6, 443520, 14505.53, 1, 64.16, 1: 55; 2: 28; 3: 15; 4: 2; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 248,  4, 14,  180, 1, 6, 443520, 14505.53, 1, 64.16, 1: 54; 2: 33; 3: 9; 4: 4; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 535, 10,  6,  180, 1, 6, 472995, 14505.53, 1, 64.16, 1: 55; 2: 32; 3: 8; 4: 4; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,   7,  7,  8,  180, 1, 6, 443520, 14505.53, 1, 64.16, 1: 58; 2: 27; 3: 11; 4: 2; 5: 3; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 299,  8,  7,  180, 1, 6, 443520, 14505.53, 1, 64.16, 1: 53; 2: 33; 3: 10; 4: 5; 5: 1; 6: 1; 
