Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
3(242)
Melhor resultado nxn: Bortezomib_Responses_in_U266_Human_Myelo, 208,  9,  8,  174, 1, 3, 570556, 13022.43, 13, 0.00, 1: 95; 2: 26; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 766,  7, 11,  229, 0, 6, 604389, 13022.43, 1, 84.11, 0: 1; 1: 68; 2: 39; 3: 10; 4: 8; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 919, 10,  7,  229, 0, 6, 557169, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 35; 3: 10; 4: 12; 5: 1; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 539,  5, 15,  229, 0, 6, 590846, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 38; 3: 18; 4: 3; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 796,  6, 13,  229, 0, 6, 610826, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 43; 3: 9; 4: 6; 5: 4; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 803,  6, 12,  229, 0, 6, 570504, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 35; 3: 14; 4: 5; 5: 3; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  78,  7, 10,  229, 0, 6, 557291, 13022.43, 1, 84.11, 0: 1; 1: 76; 2: 29; 3: 9; 4: 9; 5: 4; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 853,  5, 16,  229, 0, 6, 622260, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 37; 3: 8; 4: 6; 5: 6; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 549,  8,  9,  229, 0, 6, 569983, 13022.43, 1, 84.11, 0: 1; 1: 61; 2: 48; 3: 11; 4: 7; 5: 1; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 470,  7, 10,  229, 0, 6, 557193, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 34; 3: 13; 4: 10; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 684,  6, 13,  229, 0, 6, 609583, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 35; 3: 11; 4: 6; 5: 5; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 383,  5, 14,  229, 0, 6, 557368, 13022.43, 1, 84.11, 0: 1; 1: 68; 2: 36; 3: 18; 4: 1; 5: 5; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 399,  5, 14,  229, 0, 6, 557168, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 33; 3: 16; 4: 6; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 623,  9,  8,  229, 0, 6, 570647, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 35; 3: 8; 4: 12; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 488,  5, 14,  229, 0, 6, 557098, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 31; 3: 19; 4: 6; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 411,  5, 14,  229, 0, 6, 556946, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 32; 3: 15; 4: 7; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 905,  5, 14,  229, 0, 6, 557134, 13022.43, 1, 84.11, 0: 1; 1: 68; 2: 37; 3: 14; 4: 7; 5: 1; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 725,  9,  8,  230, 0, 6, 570089, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 39; 3: 17; 4: 3; 5: 1; 6: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 723,  6, 13,  230, 0, 6, 610694, 13022.43, 1, 84.11, 0: 1; 1: 69; 2: 37; 3: 14; 4: 2; 5: 5; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 567,  7, 11,  230, 0, 6, 604207, 13022.43, 1, 84.11, 0: 1; 1: 60; 2: 49; 3: 12; 4: 5; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 924,  9,  8,  230, 0, 6, 570443, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 29; 3: 19; 4: 7; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 433,  5, 16,  230, 0, 6, 621567, 13022.43, 1, 84.11, 0: 1; 1: 65; 2: 44; 3: 10; 4: 4; 5: 5; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 281,  6, 12,  230, 0, 6, 570526, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 42; 3: 10; 4: 6; 5: 4; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 120,  7, 11,  230, 0, 6, 604010, 13022.43, 1, 84.11, 0: 1; 1: 65; 2: 43; 3: 10; 4: 7; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 513,  9,  8,  230, 0, 6, 569693, 13022.43, 1, 84.11, 0: 1; 1: 75; 2: 30; 3: 12; 4: 3; 5: 7; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 320,  7, 11,  230, 0, 6, 605199, 13022.43, 1, 84.11, 0: 1; 1: 65; 2: 39; 3: 17; 4: 5; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 135, 10,  7,  230, 0, 6, 557272, 13022.43, 1, 84.11, 0: 1; 1: 64; 2: 42; 3: 13; 4: 8; 5: 1; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 124,  5, 16,  230, 0, 6, 621696, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 41; 3: 10; 4: 9; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 194,  5, 14,  230, 0, 6, 557118, 13022.43, 1, 84.11, 0: 1; 1: 72; 2: 29; 3: 18; 4: 6; 5: 2; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 382,  7, 10,  230, 0, 6, 557110, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 36; 3: 12; 4: 4; 5: 6; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 388,  5, 14,  230, 0, 6, 557048, 13022.43, 1, 84.11, 0: 1; 1: 67; 2: 40; 3: 13; 4: 4; 5: 2; 6: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 482,  9,  8,  230, 0, 6, 570224, 13022.43, 1, 84.11, 0: 1; 1: 73; 2: 31; 3: 12; 4: 7; 5: 5; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 407, 10,  7,  231, 0, 6, 557196, 13022.43, 1, 84.11, 0: 1; 1: 69; 2: 38; 3: 7; 4: 11; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 703,  7, 10,  231, 0, 6, 556991, 13022.43, 1, 84.11, 0: 1; 1: 73; 2: 30; 3: 10; 4: 13; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 123,  7, 10,  231, 0, 6, 557303, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 32; 3: 16; 4: 7; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 466, 10,  7,  231, 0, 6, 557344, 13022.43, 1, 84.11, 0: 1; 1: 72; 2: 32; 3: 11; 4: 9; 5: 4; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 678,  6, 12,  231, 0, 6, 570566, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 36; 3: 8; 4: 11; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  46,  5, 16,  231, 0, 6, 622867, 13022.43, 1, 84.11, 0: 1; 1: 65; 2: 43; 3: 11; 4: 4; 5: 5; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 693,  5, 15,  231, 0, 6, 590466, 13022.43, 1, 84.11, 0: 1; 1: 65; 2: 39; 3: 16; 4: 6; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 629,  5, 16,  231, 0, 6, 622604, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 34; 3: 14; 4: 5; 5: 5; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 794,  5, 14,  231, 0, 6, 557094, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 36; 3: 11; 4: 7; 5: 2; 6: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 637,  6, 13,  231, 0, 6, 610271, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 33; 3: 17; 4: 3; 5: 4; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 353,  7, 11,  231, 0, 6, 605768, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 32; 3: 14; 4: 8; 5: 2; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  67,  5, 16,  231, 0, 6, 622106, 13022.43, 1, 84.11, 0: 1; 1: 64; 2: 44; 3: 10; 4: 7; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 253,  7, 10,  231, 0, 6, 557144, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 34; 3: 16; 4: 2; 5: 5; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 574,  8,  9,  232, 0, 6, 570391, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 39; 3: 13; 4: 7; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 877,  6, 12,  232, 0, 6, 570116, 13022.43, 1, 84.11, 0: 1; 1: 74; 2: 27; 3: 17; 4: 3; 5: 7; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  98,  5, 16,  232, 0, 6, 622800, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 42; 3: 11; 4: 5; 5: 1; 6: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 471,  6, 13,  232, 0, 6, 610106, 13022.43, 1, 84.11, 0: 1; 1: 68; 2: 36; 3: 13; 4: 9; 5: 1; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 430,  5, 15,  232, 0, 6, 590723, 13022.43, 0, 84.11, 0: 1; 1: 57; 2: 50; 3: 15; 4: 6; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 360,  6, 13,  232, 0, 6, 610272, 13022.43, 1, 84.11, 0: 1; 1: 58; 2: 52; 3: 12; 4: 3; 5: 2; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 464, 10,  7,  232, 0, 6, 557166, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 34; 3: 13; 4: 4; 5: 4; 6: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 662,  5, 16,  232, 0, 6, 622508, 13022.43, 1, 84.11, 0: 1; 1: 64; 2: 43; 3: 13; 4: 4; 5: 3; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 115,  6, 13,  232, 0, 6, 610077, 13022.43, 1, 84.11, 0: 1; 1: 67; 2: 31; 3: 25; 4: 3; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  57,  5, 16,  232, 0, 6, 621998, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 40; 3: 13; 4: 5; 5: 3; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 117, 10,  7,  232, 0, 6, 557246, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 38; 3: 14; 4: 8; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 351,  5, 15,  232, 0, 6, 590621, 13022.43, 1, 84.11, 0: 1; 1: 69; 2: 34; 3: 14; 4: 8; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 938, 10,  7,  232, 0, 6, 557252, 13022.43, 1, 84.11, 0: 1; 1: 63; 2: 44; 3: 12; 4: 6; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 223,  7, 11,  232, 0, 6, 605322, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 37; 3: 16; 4: 7; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 810,  5, 14,  232, 0, 6, 557059, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 30; 3: 17; 4: 7; 5: 2; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 781,  5, 16,  232, 0, 6, 623410, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 37; 3: 8; 4: 9; 5: 2; 6: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 489,  7, 10,  232, 0, 6, 557196, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 38; 3: 10; 4: 4; 5: 2; 6: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 188, 10,  7,  232, 0, 6, 557102, 13022.43, 1, 84.11, 0: 1; 1: 69; 2: 34; 3: 14; 4: 8; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 956,  5, 16,  232, 0, 6, 622047, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 33; 3: 12; 4: 7; 5: 5; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 860,  6, 13,  233, 0, 6, 610245, 13022.43, 1, 84.11, 0: 1; 1: 68; 2: 33; 3: 18; 4: 6; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 875,  5, 14,  233, 0, 6, 557338, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 34; 3: 11; 4: 9; 5: 4; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 344,  9,  8,  233, 0, 6, 569659, 13022.43, 1, 84.11, 0: 1; 1: 69; 2: 34; 3: 12; 4: 11; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 341,  5, 15,  233, 0, 6, 590477, 13022.43, 1, 84.11, 0: 1; 1: 64; 2: 42; 3: 12; 4: 7; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 713,  7, 10,  233, 0, 6, 557283, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 35; 3: 10; 4: 9; 5: 3; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 584,  7, 10,  233, 0, 6, 557173, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 35; 3: 7; 4: 11; 5: 3; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 656,  5, 16,  233, 0, 6, 623095, 13022.43, 1, 84.11, 0: 1; 1: 69; 2: 33; 3: 15; 4: 8; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 368,  8,  9,  233, 0, 6, 570287, 13022.43, 1, 84.11, 0: 1; 1: 68; 2: 38; 3: 11; 4: 7; 5: 2; 6: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 889,  7, 10,  233, 0, 6, 557309, 13022.43, 1, 84.11, 0: 1; 1: 73; 2: 30; 3: 13; 4: 7; 5: 3; 6: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 473,  6, 13,  233, 0, 6, 609529, 13022.43, 1, 84.11, 0: 1; 1: 61; 2: 47; 3: 11; 4: 7; 5: 1; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 306,  5, 15,  233, 0, 6, 589998, 13022.43, 1, 84.11, 0: 1; 1: 68; 2: 35; 3: 15; 4: 7; 5: 2; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 998, 10,  7,  234, 0, 6, 557226, 13022.43, 1, 84.11, 0: 1; 1: 63; 2: 42; 3: 14; 4: 6; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 431,  7, 11,  234, 0, 6, 604865, 13022.43, 1, 84.11, 0: 1; 1: 64; 2: 42; 3: 12; 4: 7; 5: 2; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 847,  5, 16,  234, 0, 6, 622861, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 31; 3: 16; 4: 5; 5: 3; 6: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 950,  7, 11,  234, 0, 6, 605095, 13022.43, 1, 84.11, 0: 1; 1: 65; 2: 41; 3: 11; 4: 7; 5: 4; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 476,  6, 13,  234, 0, 6, 609122, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 35; 3: 18; 4: 7; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 148,  5, 15,  234, 0, 6, 590556, 13022.43, 1, 84.11, 0: 1; 1: 60; 2: 47; 3: 10; 4: 11; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  22,  7, 11,  234, 0, 6, 604405, 13022.43, 1, 84.11, 0: 1; 1: 61; 2: 45; 3: 13; 4: 8; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 679,  5, 14,  234, 0, 6, 557063, 13022.43, 1, 84.11, 0: 1; 1: 67; 2: 36; 3: 13; 4: 10; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 884,  5, 16,  234, 0, 6, 622350, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 31; 3: 16; 4: 7; 5: 4; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 499, 10,  7,  234, 0, 6, 557245, 13022.43, 1, 84.11, 0: 1; 1: 65; 2: 43; 3: 7; 4: 9; 5: 4; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 708,  5, 14,  234, 0, 6, 557308, 13022.43, 1, 84.11, 0: 1; 1: 67; 2: 35; 3: 15; 4: 9; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 168,  7, 11,  235, 0, 6, 604454, 13022.43, 1, 84.11, 0: 1; 1: 63; 2: 41; 3: 14; 4: 8; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 589,  7, 10,  235, 0, 6, 556880, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 29; 3: 17; 4: 10; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 255,  5, 14,  235, 0, 6, 557042, 13022.43, 1, 84.11, 0: 1; 1: 62; 2: 47; 3: 9; 4: 5; 5: 4; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 739,  8,  9,  235, 0, 6, 570494, 13022.43, 1, 84.11, 0: 1; 1: 65; 2: 39; 3: 12; 4: 10; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  91, 10,  7,  235, 0, 6, 557147, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 32; 3: 14; 4: 8; 5: 3; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 724, 10,  7,  235, 0, 6, 556697, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 37; 3: 14; 4: 9; 5: 1; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 779,  7, 10,  236, 0, 6, 557128, 13022.43, 1, 84.11, 0: 1; 1: 72; 2: 31; 3: 10; 4: 9; 5: 6; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 109,  7, 10,  236, 0, 6, 557139, 13022.43, 1, 84.11, 0: 1; 1: 67; 2: 38; 3: 10; 4: 9; 5: 3; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 302,  5, 14,  236, 0, 6, 556820, 13022.43, 1, 84.11, 0: 1; 1: 67; 2: 34; 3: 15; 4: 10; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 764,  5, 15,  236, 0, 6, 590805, 13022.43, 1, 84.11, 0: 1; 1: 62; 2: 44; 3: 11; 4: 8; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 823,  5, 14,  236, 0, 6, 557070, 13022.43, 1, 84.11, 0: 1; 1: 69; 2: 34; 3: 14; 4: 6; 5: 3; 6: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 214,  8,  9,  236, 0, 6, 570373, 13022.43, 1, 84.11, 0: 1; 1: 57; 2: 48; 3: 15; 4: 8; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 205,  9,  8,  236, 0, 6, 570393, 13022.43, 1, 84.11, 0: 1; 1: 72; 2: 28; 3: 17; 4: 5; 5: 5; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 193, 10,  7,  236, 0, 6, 557109, 13022.43, 1, 84.11, 0: 1; 1: 68; 2: 36; 3: 11; 4: 9; 5: 3; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 643, 10,  7,  236, 0, 6, 557215, 13022.43, 1, 84.11, 0: 1; 1: 68; 2: 29; 3: 23; 4: 6; 5: 1; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 137,  7, 11,  236, 0, 6, 605019, 13022.43, 1, 84.11, 0: 1; 1: 61; 2: 45; 3: 12; 4: 7; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 988,  5, 14,  236, 0, 6, 557261, 13022.43, 1, 84.11, 0: 1; 1: 65; 2: 38; 3: 15; 4: 6; 5: 4; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 256,  7, 10,  236, 0, 6, 557316, 13022.43, 1, 84.11, 0: 1; 1: 67; 2: 37; 3: 13; 4: 5; 5: 6; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 270,  7, 11,  236, 0, 6, 604119, 13022.43, 1, 84.11, 0: 1; 1: 63; 2: 41; 3: 15; 4: 5; 5: 4; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 871,  6, 13,  236, 0, 6, 610026, 13022.43, 1, 84.11, 0: 1; 1: 67; 2: 35; 3: 14; 4: 10; 5: 1; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 753,  8,  9,  237, 0, 6, 570186, 13022.43, 1, 84.11, 0: 1; 1: 64; 2: 41; 3: 11; 4: 8; 5: 4; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 854, 10,  7,  237, 0, 6, 557299, 13022.43, 1, 84.11, 0: 1; 1: 65; 2: 37; 3: 17; 4: 5; 5: 3; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 560,  7, 11,  237, 0, 6, 605020, 13022.43, 1, 84.11, 0: 1; 1: 60; 2: 45; 3: 13; 4: 8; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 136,  5, 15,  237, 0, 6, 590332, 13022.43, 1, 84.11, 0: 1; 1: 58; 2: 48; 3: 13; 4: 7; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 495,  6, 13,  237, 0, 6, 610596, 13022.43, 1, 84.11, 0: 1; 1: 68; 2: 36; 3: 10; 4: 10; 5: 3; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  40,  5, 14,  237, 0, 6, 557138, 13022.43, 1, 84.11, 0: 1; 1: 65; 2: 37; 3: 17; 4: 5; 5: 3; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 906,  8,  9,  237, 0, 6, 569813, 13022.43, 1, 84.11, 0: 1; 1: 65; 2: 41; 3: 11; 4: 4; 5: 7; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 775, 10,  7,  237, 0, 6, 557282, 13022.43, 1, 84.11, 0: 1; 1: 61; 2: 42; 3: 16; 4: 7; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 878,  6, 13,  237, 0, 6, 610835, 13022.43, 1, 84.11, 0: 1; 1: 62; 2: 43; 3: 14; 4: 4; 5: 5; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 192,  6, 13,  237, 0, 6, 611032, 13022.43, 1, 84.11, 0: 1; 1: 57; 2: 51; 3: 11; 4: 6; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 335,  6, 13,  237, 0, 6, 610143, 13022.43, 1, 84.11, 0: 1; 1: 65; 2: 39; 3: 11; 4: 11; 5: 1; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 788,  6, 13,  237, 0, 6, 610294, 13022.43, 1, 84.11, 0: 1; 1: 69; 2: 32; 3: 14; 4: 9; 5: 4; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 169, 10,  7,  237, 0, 6, 557306, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 39; 3: 11; 4: 7; 5: 4; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 408,  5, 15,  237, 0, 6, 590227, 13022.43, 1, 84.11, 0: 1; 1: 60; 2: 44; 3: 15; 4: 7; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  50,  5, 15,  237, 0, 6, 591099, 13022.43, 1, 84.11, 0: 1; 1: 64; 2: 41; 3: 10; 4: 10; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 826, 10,  7,  237, 0, 6, 557286, 13022.43, 1, 84.11, 0: 1; 1: 68; 2: 36; 3: 11; 4: 8; 5: 4; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,   1,  5, 16,  238, 0, 6, 623208, 13022.43, 1, 84.11, 0: 1; 1: 65; 2: 38; 3: 11; 4: 12; 5: 2; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 970,  6, 13,  238, 0, 6, 610516, 13022.43, 1, 84.11, 0: 1; 1: 60; 2: 44; 3: 15; 4: 6; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 276,  9,  8,  238, 0, 6, 570482, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 38; 3: 11; 4: 8; 5: 5; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 228,  5, 16,  238, 0, 6, 622955, 13022.43, 1, 84.11, 0: 1; 1: 65; 2: 41; 3: 8; 4: 9; 5: 5; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 159, 10,  7,  238, 0, 6, 556790, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 37; 3: 12; 4: 9; 5: 4; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 322,  5, 15,  238, 0, 6, 590977, 13022.43, 1, 84.11, 0: 1; 1: 67; 2: 35; 3: 14; 4: 9; 5: 1; 6: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 400,  6, 13,  238, 0, 6, 610780, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 37; 3: 11; 4: 11; 5: 3; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 282,  9,  8,  238, 0, 6, 570572, 13022.43, 1, 84.11, 0: 1; 1: 72; 2: 28; 3: 13; 4: 10; 5: 5; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 226,  5, 15,  239, 0, 6, 589107, 13022.43, 1, 84.11, 0: 1; 1: 63; 2: 41; 3: 12; 4: 8; 5: 4; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 769,  5, 15,  239, 0, 6, 590361, 13022.43, 1, 84.11, 0: 1; 1: 61; 2: 41; 3: 15; 4: 10; 5: 1; 6: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 688,  5, 15,  239, 0, 6, 591081, 13022.43, 1, 84.11, 0: 1; 1: 64; 2: 39; 3: 16; 4: 3; 5: 5; 6: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 605,  7, 11,  239, 0, 6, 604725, 13022.43, 1, 84.11, 0: 1; 1: 61; 2: 40; 3: 19; 4: 5; 5: 3; 6: 1; 
