Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
04(519)
Melhor resultado nxn: IGVH_mutations_in_chronic_lymphocytic_leukemia, 974, 10, 10,  236, 0, 4, 795976, 55407.78, 0, 0.00, 0: 25; 1: 48; 2: 48; 3: 24; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 543, 12,  8,  275, 0, 7, 764378, 55407.78, 1, 87.21, 0: 25; 1: 34; 2: 55; 3: 23; 4: 8; 5: 2; 6: 1; 7: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 160,  8, 12,  275, 0, 7, 764366, 55407.78, 0, 87.21, 0: 25; 1: 34; 2: 53; 3: 23; 4: 11; 5: 3; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 570,  8, 12,  275, 0, 7, 764381, 55407.78, 1, 87.21, 0: 25; 1: 40; 2: 45; 3: 24; 4: 10; 5: 4; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  10, 11,  9,  275, 0, 7, 786186, 55407.78, 1, 87.21, 0: 25; 1: 41; 2: 46; 3: 21; 4: 8; 5: 8; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 563,  7, 13,  276, 0, 7, 728910, 55407.78, 1, 87.21, 0: 25; 1: 39; 2: 44; 3: 28; 4: 7; 5: 6; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 384,  6, 17,  276, 0, 7, 805196, 55407.78, 1, 87.21, 0: 25; 1: 38; 2: 48; 3: 23; 4: 10; 5: 4; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 987,  7, 14,  276, 0, 7, 780749, 55407.78, 1, 87.21, 0: 25; 1: 37; 2: 45; 3: 29; 4: 10; 5: 3; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 439, 12,  8,  276, 0, 7, 764405, 55407.78, 1, 87.21, 0: 25; 1: 44; 2: 42; 3: 21; 4: 9; 5: 6; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 409,  8, 12,  276, 0, 7, 764398, 55407.78, 1, 87.21, 0: 25; 1: 40; 2: 41; 3: 31; 4: 6; 5: 6; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 726, 10, 10,  277, 0, 7, 796134, 55407.78, 1, 87.21, 0: 25; 1: 41; 2: 45; 3: 24; 4: 7; 5: 4; 6: 2; 7: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 982,  6, 16,  277, 0, 7, 764400, 55407.78, 1, 87.21, 0: 25; 1: 39; 2: 42; 3: 29; 4: 11; 5: 2; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 577,  7, 13,  277, 0, 7, 728910, 55407.78, 1, 87.21, 0: 25; 1: 33; 2: 53; 3: 27; 4: 6; 5: 4; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 743, 10, 10,  278, 0, 7, 796082, 55407.78, 1, 87.21, 0: 25; 1: 45; 2: 42; 3: 20; 4: 8; 5: 4; 6: 5; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 953,  7, 15,  278, 0, 7, 826542, 55407.78, 1, 87.21, 0: 25; 1: 34; 2: 52; 3: 25; 4: 8; 5: 4; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 980,  6, 18,  278, 0, 7, 846121, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 46; 3: 29; 4: 10; 5: 2; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 820, 12,  8,  278, 0, 7, 764351, 55407.78, 1, 87.21, 0: 25; 1: 41; 2: 43; 3: 23; 4: 12; 5: 3; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 519,  7, 13,  278, 0, 7, 728910, 55407.78, 1, 87.21, 0: 25; 1: 42; 2: 37; 3: 31; 4: 10; 5: 2; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 153, 10, 10,  278, 0, 7, 796080, 55407.78, 1, 87.21, 0: 25; 1: 39; 2: 44; 3: 31; 4: 2; 5: 5; 6: 3; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 828,  8, 12,  278, 0, 7, 764398, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 49; 3: 29; 4: 5; 5: 5; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 378,  7, 13,  278, 0, 7, 728910, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 46; 3: 30; 4: 8; 5: 3; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 671,  8, 12,  279, 0, 7, 764409, 55407.78, 1, 87.21, 0: 25; 1: 34; 2: 49; 3: 29; 4: 8; 5: 3; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 945,  6, 17,  279, 0, 7, 805181, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 45; 3: 29; 4: 11; 5: 3; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 542,  8, 12,  279, 0, 7, 764396, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 52; 3: 22; 4: 9; 5: 5; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 461, 12,  8,  280, 0, 7, 764381, 55407.78, 1, 87.21, 0: 25; 1: 38; 2: 45; 3: 29; 4: 5; 5: 5; 6: 1; 7: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 933,  7, 13,  280, 0, 7, 728910, 55407.78, 1, 87.21, 0: 25; 1: 42; 2: 37; 3: 32; 4: 7; 5: 3; 6: 3; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 683,  7, 14,  280, 0, 7, 780795, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 48; 3: 25; 4: 10; 5: 4; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 991,  7, 13,  281, 0, 7, 728910, 55407.78, 1, 87.21, 0: 25; 1: 32; 2: 49; 3: 32; 4: 7; 5: 4; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 829,  6, 17,  281, 0, 7, 805206, 55407.78, 1, 87.21, 0: 25; 1: 37; 2: 41; 3: 34; 4: 8; 5: 3; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 976,  7, 15,  281, 0, 7, 826620, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 50; 3: 23; 4: 11; 5: 4; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 289,  6, 16,  282, 0, 7, 764374, 55407.78, 1, 87.21, 0: 25; 1: 37; 2: 42; 3: 32; 4: 8; 5: 4; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 354,  6, 17,  282, 0, 7, 805195, 55407.78, 1, 87.21, 0: 25; 1: 41; 2: 39; 3: 26; 4: 13; 5: 4; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 262, 11,  9,  282, 0, 7, 786226, 55407.78, 1, 87.21, 0: 25; 1: 39; 2: 44; 3: 23; 4: 11; 5: 7; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  56, 12,  8,  283, 0, 7, 764388, 55407.78, 1, 87.21, 0: 25; 1: 42; 2: 40; 3: 24; 4: 10; 5: 6; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 382,  8, 12,  283, 0, 7, 764450, 55407.78, 1, 87.21, 0: 25; 1: 40; 2: 39; 3: 30; 4: 9; 5: 5; 7: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 297,  6, 16,  283, 0, 7, 764386, 55407.78, 1, 87.21, 0: 25; 1: 40; 2: 37; 3: 31; 4: 11; 5: 5; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 720,  7, 14,  283, 0, 7, 780715, 55407.78, 1, 87.21, 0: 25; 1: 34; 2: 49; 3: 26; 4: 11; 5: 2; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 831,  7, 15,  284, 0, 7, 826723, 55407.78, 1, 87.21, 0: 25; 1: 39; 2: 43; 3: 24; 4: 12; 5: 4; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 718,  7, 14,  284, 0, 7, 780764, 55407.78, 1, 87.21, 0: 25; 1: 34; 2: 48; 3: 26; 4: 12; 5: 3; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 656,  6, 18,  284, 0, 7, 846334, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 39; 3: 35; 4: 12; 5: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 729,  6, 16,  284, 0, 7, 764407, 55407.78, 1, 87.21, 0: 25; 1: 39; 2: 40; 3: 30; 4: 9; 5: 4; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 513,  7, 13,  284, 0, 7, 728910, 55407.78, 1, 87.21, 0: 25; 1: 34; 2: 48; 3: 27; 4: 9; 5: 6; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 277,  8, 12,  284, 0, 7, 764435, 55407.78, 1, 87.21, 0: 25; 1: 31; 2: 50; 3: 32; 4: 7; 5: 2; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 639,  6, 16,  285, 0, 7, 764420, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 44; 3: 28; 4: 10; 5: 6; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 676,  7, 15,  285, 0, 7, 826856, 55407.78, 1, 87.21, 0: 25; 1: 31; 2: 52; 3: 27; 4: 9; 5: 4; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 103,  6, 16,  285, 0, 7, 764375, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 41; 3: 32; 4: 11; 5: 4; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  22,  6, 16,  285, 0, 7, 764449, 55407.78, 1, 87.21, 0: 25; 1: 39; 2: 40; 3: 29; 4: 10; 5: 4; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 331,  6, 17,  285, 0, 7, 805275, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 44; 3: 30; 4: 10; 5: 5; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 313,  6, 17,  285, 0, 7, 805182, 55407.78, 1, 87.21, 0: 25; 1: 37; 2: 40; 3: 33; 4: 10; 5: 2; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 174,  6, 17,  286, 0, 7, 805221, 55407.78, 1, 87.21, 0: 25; 1: 33; 2: 43; 3: 35; 4: 10; 5: 3; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 860,  6, 16,  286, 0, 7, 764423, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 43; 3: 30; 4: 10; 5: 3; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 276,  6, 16,  286, 0, 7, 764386, 55407.78, 1, 87.21, 0: 25; 1: 34; 2: 46; 3: 29; 4: 10; 5: 4; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 437,  7, 14,  286, 0, 7, 780780, 55407.78, 1, 87.21, 0: 25; 1: 37; 2: 41; 3: 32; 4: 8; 5: 4; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 448,  6, 17,  286, 0, 7, 805218, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 44; 3: 29; 4: 12; 5: 3; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 518,  6, 18,  287, 0, 7, 846110, 55407.78, 1, 87.21, 0: 25; 1: 37; 2: 43; 3: 25; 4: 14; 5: 4; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 227,  6, 16,  287, 0, 7, 764417, 55407.78, 1, 87.21, 0: 25; 1: 41; 2: 36; 3: 27; 4: 16; 5: 2; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 206, 10, 10,  288, 0, 7, 795871, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 45; 3: 27; 4: 12; 5: 3; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 908,  6, 18,  288, 0, 7, 846382, 55407.78, 1, 87.21, 0: 25; 1: 39; 2: 36; 3: 33; 4: 10; 5: 5; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 233,  6, 16,  288, 0, 7, 764415, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 38; 3: 33; 4: 15; 5: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 240, 12,  8,  288, 0, 7, 764377, 55407.78, 1, 87.21, 0: 25; 1: 37; 2: 42; 3: 29; 4: 8; 5: 7; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 705,  6, 16,  289, 0, 7, 764418, 55407.78, 1, 87.21, 0: 25; 1: 31; 2: 46; 3: 33; 4: 10; 5: 4; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 852,  6, 18,  289, 0, 7, 846161, 55407.78, 1, 87.21, 0: 25; 1: 38; 2: 39; 3: 30; 4: 11; 5: 5; 7: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 825,  6, 17,  289, 0, 7, 805092, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 37; 3: 36; 4: 11; 5: 4; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 418,  6, 16,  289, 0, 7, 764407, 55407.78, 1, 87.21, 0: 25; 1: 33; 2: 46; 3: 27; 4: 14; 5: 4; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 173,  6, 17,  289, 0, 7, 805105, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 43; 3: 27; 4: 15; 5: 4; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 895,  6, 16,  289, 0, 7, 764462, 55407.78, 1, 87.21, 0: 25; 1: 37; 2: 39; 3: 31; 4: 12; 5: 4; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 249,  6, 18,  290, 0, 7, 846230, 55407.78, 1, 87.21, 0: 25; 1: 41; 2: 37; 3: 25; 4: 14; 5: 5; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 113,  7, 14,  290, 0, 7, 780729, 55407.78, 1, 87.21, 0: 25; 1: 34; 2: 46; 3: 29; 4: 8; 5: 5; 6: 1; 7: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 178,  6, 17,  290, 0, 7, 805071, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 39; 3: 35; 4: 10; 5: 5; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 613,  6, 16,  290, 0, 7, 764429, 55407.78, 1, 87.21, 0: 25; 1: 33; 2: 43; 3: 34; 4: 10; 5: 2; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 767,  6, 16,  291, 0, 7, 764414, 55407.78, 1, 87.21, 0: 25; 1: 31; 2: 48; 3: 29; 4: 11; 5: 4; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 288,  6, 18,  291, 0, 7, 845903, 55407.78, 1, 87.21, 0: 25; 1: 31; 2: 49; 3: 27; 4: 13; 5: 2; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 125,  8, 12,  291, 0, 7, 764430, 55407.78, 1, 87.21, 0: 25; 1: 29; 2: 51; 3: 28; 4: 12; 5: 3; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 321,  6, 18,  291, 0, 7, 846202, 55407.78, 1, 87.21, 0: 25; 1: 34; 2: 44; 3: 30; 4: 11; 5: 3; 6: 1; 7: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 837, 12,  8,  291, 0, 7, 764399, 55407.78, 1, 87.21, 0: 25; 1: 40; 2: 38; 3: 26; 4: 12; 5: 6; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 341,  6, 18,  292, 0, 7, 846303, 55407.78, 1, 87.21, 0: 25; 1: 34; 2: 43; 3: 30; 4: 12; 5: 4; 7: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 162,  6, 16,  292, 0, 7, 764391, 55407.78, 1, 87.21, 0: 25; 1: 32; 2: 45; 3: 28; 4: 17; 5: 1; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 328,  6, 16,  292, 0, 7, 764340, 55407.78, 1, 87.21, 0: 25; 1: 29; 2: 48; 3: 35; 4: 8; 5: 2; 6: 1; 7: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 478,  6, 18,  292, 0, 7, 846328, 55407.78, 1, 87.21, 0: 25; 1: 34; 2: 43; 3: 29; 4: 13; 5: 4; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 968,  6, 16,  293, 0, 7, 764495, 55407.78, 1, 87.21, 0: 25; 1: 34; 2: 42; 3: 31; 4: 11; 5: 5; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 527,  7, 15,  293, 0, 7, 826695, 55407.78, 1, 87.21, 0: 25; 1: 30; 2: 54; 3: 24; 4: 10; 5: 1; 6: 4; 7: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 201,  6, 17,  293, 0, 7, 805081, 55407.78, 1, 87.21, 0: 25; 1: 31; 2: 44; 3: 33; 4: 12; 5: 4; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 723,  7, 13,  294, 0, 7, 728910, 55407.78, 1, 87.21, 0: 25; 1: 30; 2: 48; 3: 30; 4: 10; 5: 5; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 730,  6, 18,  294, 0, 7, 846056, 55407.78, 1, 87.21, 0: 25; 1: 33; 2: 42; 3: 32; 4: 12; 5: 4; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 876,  6, 16,  294, 0, 7, 764331, 55407.78, 1, 87.21, 0: 25; 1: 33; 2: 44; 3: 30; 4: 12; 5: 3; 6: 1; 7: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 677,  6, 16,  295, 0, 7, 764394, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 40; 3: 29; 4: 14; 5: 3; 7: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 888,  6, 17,  295, 0, 7, 805240, 55407.78, 1, 87.21, 0: 25; 1: 37; 2: 39; 3: 29; 4: 12; 5: 5; 6: 1; 7: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 564,  6, 17,  295, 0, 7, 805142, 55407.78, 1, 87.21, 0: 25; 1: 32; 2: 49; 3: 22; 4: 16; 5: 2; 6: 3; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 270,  6, 16,  295, 0, 7, 764387, 55407.78, 1, 87.21, 0: 25; 1: 33; 2: 41; 3: 33; 4: 13; 5: 2; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 584,  6, 16,  296, 0, 7, 764306, 55407.78, 1, 87.21, 0: 25; 1: 32; 2: 44; 3: 30; 4: 13; 5: 3; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 997,  6, 16,  297, 0, 7, 764412, 55407.78, 0, 87.21, 0: 25; 1: 34; 2: 37; 3: 36; 4: 11; 5: 6; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 732,  6, 18,  297, 0, 7, 846489, 55407.78, 1, 87.21, 0: 25; 1: 32; 2: 42; 3: 33; 4: 12; 5: 4; 7: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 622,  6, 16,  298, 0, 7, 764477, 55407.78, 1, 87.21, 0: 25; 1: 33; 2: 41; 3: 31; 4: 12; 5: 7; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 858,  7, 15,  298, 0, 7, 826861, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 44; 3: 27; 4: 9; 5: 4; 6: 4; 7: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 805,  6, 17,  299, 0, 7, 805096, 55407.78, 1, 87.21, 0: 25; 1: 27; 2: 44; 3: 38; 4: 12; 5: 3; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 748,  7, 13,  299, 0, 7, 728910, 55407.78, 1, 87.21, 0: 25; 1: 33; 2: 42; 3: 29; 4: 14; 5: 4; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 248,  6, 18,  299, 0, 7, 846262, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 41; 3: 27; 4: 13; 5: 6; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 685,  6, 18,  299, 0, 7, 846400, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 41; 3: 24; 4: 17; 5: 7; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 946,  6, 16,  300, 0, 7, 764396, 55407.78, 1, 87.21, 0: 25; 1: 30; 2: 47; 3: 29; 4: 11; 5: 5; 6: 1; 7: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 252,  7, 13,  300, 0, 7, 728910, 55407.78, 1, 87.21, 0: 25; 1: 30; 2: 45; 3: 37; 4: 3; 5: 5; 6: 3; 7: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 590,  6, 18,  301, 0, 7, 846109, 55407.78, 1, 87.21, 0: 25; 1: 34; 2: 37; 3: 33; 4: 13; 5: 7; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 775,  6, 18,  301, 0, 7, 846377, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 37; 3: 29; 4: 15; 5: 5; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 164,  6, 17,  301, 0, 7, 805114, 55407.78, 1, 87.21, 0: 25; 1: 32; 2: 45; 3: 24; 4: 16; 5: 6; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 352,  6, 18,  302, 0, 7, 846123, 55407.78, 1, 87.21, 0: 25; 1: 28; 2: 44; 3: 34; 4: 13; 5: 5; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 911,  6, 16,  304, 0, 7, 764353, 55407.78, 1, 87.21, 0: 25; 1: 29; 2: 43; 3: 35; 4: 11; 5: 3; 6: 3; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  31,  7, 13,  305, 0, 7, 728910, 55407.78, 1, 87.21, 0: 25; 1: 33; 2: 38; 3: 36; 4: 7; 5: 7; 6: 3; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 870,  6, 17,  305, 0, 7, 805133, 55407.78, 1, 87.21, 0: 25; 1: 33; 2: 32; 3: 43; 4: 10; 5: 4; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 878,  6, 17,  306, 0, 7, 805034, 55407.78, 1, 87.21, 0: 25; 1: 28; 2: 49; 3: 25; 4: 15; 5: 5; 6: 1; 7: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 281,  6, 16,  308, 0, 7, 764393, 55407.78, 1, 87.21, 0: 25; 1: 30; 2: 36; 3: 40; 4: 12; 5: 5; 6: 1; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 872,  6, 16,  309, 0, 7, 764457, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 32; 3: 34; 4: 14; 5: 5; 6: 2; 7: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 488,  6, 17,  309, 0, 7, 805317, 55407.78, 1, 87.21, 0: 25; 1: 30; 2: 36; 3: 41; 4: 11; 5: 4; 6: 1; 7: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 192,  6, 17,  314, 0, 7, 805323, 55407.78, 1, 87.21, 0: 25; 1: 24; 2: 47; 3: 31; 4: 16; 5: 4; 6: 2; 7: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 958,  9, 11,  255, 0, 8, 786192, 55407.78, 1, 87.21, 0: 25; 1: 50; 2: 39; 3: 25; 4: 7; 5: 2; 6: 1; 8: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 301, 10, 10,  258, 0, 8, 795984, 55407.78, 1, 87.21, 0: 25; 1: 47; 2: 42; 3: 24; 4: 8; 5: 3; 8: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 485,  8, 12,  262, 0, 8, 764449, 55407.78, 1, 87.21, 0: 25; 1: 45; 2: 40; 3: 31; 4: 4; 5: 4; 8: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 472, 10, 10,  262, 0, 8, 796176, 55407.78, 1, 87.21, 0: 25; 1: 45; 2: 44; 3: 25; 4: 7; 6: 3; 8: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 914,  8, 12,  263, 0, 8, 764520, 55407.78, 1, 87.21, 0: 25; 1: 38; 2: 53; 3: 25; 4: 5; 5: 2; 6: 1; 8: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 127,  8, 12,  265, 0, 8, 764446, 55407.78, 1, 87.21, 0: 25; 1: 40; 2: 48; 3: 27; 4: 6; 5: 2; 6: 1; 8: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 158,  7, 15,  267, 0, 8, 826952, 55407.78, 0, 87.21, 0: 25; 1: 40; 2: 47; 3: 26; 4: 9; 5: 1; 6: 1; 8: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 954,  8, 12,  270, 0, 8, 764382, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 55; 3: 21; 4: 7; 5: 5; 8: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 612, 10, 10,  271, 0, 8, 795974, 55407.78, 1, 87.21, 0: 25; 1: 41; 2: 44; 3: 26; 4: 10; 5: 2; 6: 1; 8: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 941,  7, 15,  272, 0, 8, 826707, 55407.78, 1, 87.21, 0: 25; 1: 42; 2: 41; 3: 29; 4: 9; 5: 2; 7: 1; 8: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 865, 12,  8,  273, 0, 8, 764402, 55407.78, 1, 87.21, 0: 25; 1: 41; 2: 51; 3: 15; 4: 9; 5: 7; 6: 1; 8: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  96, 12,  8,  273, 0, 8, 764333, 55407.78, 1, 87.21, 0: 25; 1: 39; 2: 46; 3: 27; 4: 8; 5: 3; 6: 1; 8: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 882,  7, 14,  273, 0, 8, 780828, 55407.78, 1, 87.21, 0: 25; 1: 42; 2: 44; 3: 22; 4: 12; 5: 3; 6: 1; 8: 1; 
