Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
3(418)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network,  88,  8,  7,  137, 1, 3, 443520, 17788.86, 40, 0.00, 1: 72; 2: 28; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 804,  5, 11,  194, 1, 5, 435105, 17788.86, 1, 63.19, 1: 41; 2: 45; 3: 7; 4: 8; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 869,  5, 13,  194, 1, 5, 504716, 17788.86, 1, 63.19, 1: 44; 2: 41; 3: 8; 4: 6; 5: 4; 
MAPK_Cancer_Cell_Fate_Network, 500,  8,  7,  194, 1, 5, 443520, 17788.86, 1, 63.19, 1: 43; 2: 42; 3: 8; 4: 7; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 336,  5, 11,  194, 1, 5, 435105, 17788.86, 1, 63.19, 1: 50; 2: 32; 3: 8; 4: 9; 5: 4; 
MAPK_Cancer_Cell_Fate_Network, 489,  5, 11,  194, 1, 5, 435105, 17788.86, 1, 63.19, 1: 47; 2: 37; 3: 6; 4: 10; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 174,  8,  7,  194, 1, 5, 443520, 17788.86, 1, 63.19, 1: 50; 2: 32; 3: 8; 4: 9; 5: 4; 
MAPK_Cancer_Cell_Fate_Network,  27,  5, 11,  194, 1, 5, 435105, 17788.86, 1, 63.19, 1: 46; 2: 32; 3: 17; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 273,  5, 13,  194, 1, 5, 504347, 17788.86, 1, 63.19, 1: 40; 2: 44; 3: 11; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 136,  8,  7,  194, 1, 5, 443520, 17788.86, 1, 63.19, 1: 49; 2: 29; 3: 15; 4: 8; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 456,  8,  7,  194, 1, 5, 443520, 17788.86, 1, 63.19, 1: 50; 2: 30; 3: 9; 4: 13; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 357,  5, 11,  194, 1, 5, 435105, 17788.86, 1, 63.19, 1: 47; 2: 36; 3: 10; 4: 5; 5: 5; 
MAPK_Cancer_Cell_Fate_Network,  66,  5, 13,  195, 1, 5, 504555, 17788.86, 1, 63.19, 1: 47; 2: 36; 3: 7; 4: 10; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 747,  7,  9,  195, 1, 5, 492727, 17788.86, 1, 63.19, 1: 49; 2: 31; 3: 12; 4: 7; 5: 4; 
MAPK_Cancer_Cell_Fate_Network, 459,  5, 11,  195, 1, 5, 435105, 17788.86, 1, 63.19, 1: 46; 2: 37; 3: 7; 4: 11; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 301,  5, 11,  195, 1, 5, 435105, 17788.86, 1, 63.19, 1: 49; 2: 30; 3: 13; 4: 8; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 882,  5, 13,  195, 1, 5, 504552, 17788.86, 1, 63.19, 1: 44; 2: 35; 3: 17; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 218,  5, 11,  195, 1, 5, 435105, 17788.86, 1, 63.19, 1: 46; 2: 34; 3: 14; 4: 6; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 647,  5, 13,  195, 1, 5, 504524, 17788.86, 1, 63.19, 1: 42; 2: 41; 3: 12; 4: 5; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 515,  7,  9,  195, 1, 5, 492783, 17788.86, 1, 63.19, 1: 45; 2: 35; 3: 13; 4: 9; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 865,  8,  7,  195, 1, 5, 443520, 17788.86, 1, 63.19, 1: 48; 2: 32; 3: 11; 4: 10; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 516,  8,  7,  195, 1, 5, 443520, 17788.86, 1, 63.19, 1: 49; 2: 31; 3: 10; 4: 11; 5: 2; 
MAPK_Cancer_Cell_Fate_Network,  43,  5, 11,  195, 1, 5, 435105, 17788.86, 1, 63.19, 1: 46; 2: 35; 3: 12; 4: 7; 5: 3; 
MAPK_Cancer_Cell_Fate_Network,   2,  5, 13,  195, 1, 5, 504948, 17788.86, 1, 63.19, 1: 50; 2: 28; 3: 14; 4: 8; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 962,  7,  9,  196, 1, 5, 493048, 17788.86, 1, 63.19, 1: 44; 2: 38; 3: 11; 4: 7; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 476,  8,  7,  196, 1, 5, 443520, 17788.86, 1, 63.19, 1: 47; 2: 35; 3: 8; 4: 10; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 492,  5, 11,  196, 1, 5, 435105, 17788.86, 1, 63.19, 1: 48; 2: 31; 3: 12; 4: 10; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 600,  7,  9,  196, 1, 5, 492801, 17788.86, 1, 63.19, 1: 45; 2: 39; 3: 8; 4: 6; 5: 5; 
MAPK_Cancer_Cell_Fate_Network,  69,  5, 13,  196, 1, 5, 504867, 17788.86, 1, 63.19, 1: 46; 2: 33; 3: 15; 4: 6; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 257,  5, 13,  196, 1, 5, 504541, 17788.86, 1, 63.19, 1: 49; 2: 27; 3: 16; 4: 10; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 455,  5, 11,  196, 1, 5, 435105, 17788.86, 1, 63.19, 1: 47; 2: 34; 3: 11; 4: 7; 5: 4; 
MAPK_Cancer_Cell_Fate_Network, 146,  8,  7,  196, 1, 5, 443520, 17788.86, 1, 63.19, 1: 50; 2: 29; 3: 11; 4: 10; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 857,  8,  7,  196, 1, 5, 443520, 17788.86, 1, 63.19, 1: 47; 2: 34; 3: 10; 4: 9; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 328,  8,  7,  196, 1, 5, 443520, 17788.86, 1, 63.19, 1: 50; 2: 29; 3: 12; 4: 8; 5: 4; 
MAPK_Cancer_Cell_Fate_Network, 114,  7,  9,  197, 1, 5, 492775, 17788.86, 1, 63.19, 1: 48; 2: 32; 3: 11; 4: 8; 5: 4; 
MAPK_Cancer_Cell_Fate_Network, 903,  7,  9,  197, 1, 5, 492827, 17788.86, 1, 63.19, 1: 50; 2: 31; 3: 9; 4: 7; 5: 6; 
MAPK_Cancer_Cell_Fate_Network, 246,  8,  7,  197, 1, 5, 443520, 17788.86, 1, 63.19, 1: 44; 2: 38; 3: 9; 4: 10; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 829,  7,  9,  197, 1, 5, 492641, 17788.86, 1, 63.19, 1: 44; 2: 36; 3: 14; 4: 6; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 575,  8,  7,  197, 1, 5, 443520, 17788.86, 1, 63.19, 1: 44; 2: 38; 3: 9; 4: 10; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 162,  5, 13,  197, 1, 5, 504947, 17788.86, 1, 63.19, 1: 45; 2: 36; 3: 11; 4: 8; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 380,  5, 11,  197, 1, 5, 435105, 17788.86, 1, 63.19, 1: 44; 2: 37; 3: 12; 4: 7; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 963,  5, 13,  197, 1, 5, 504603, 17788.86, 1, 63.19, 1: 45; 2: 33; 3: 16; 4: 7; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 483,  5, 11,  198, 1, 5, 435105, 17788.86, 1, 63.19, 1: 46; 2: 35; 3: 9; 4: 10; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 354,  5, 13,  198, 1, 5, 504754, 17788.86, 1, 63.19, 1: 42; 2: 41; 3: 9; 4: 8; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 316,  5, 11,  198, 1, 5, 435105, 17788.86, 1, 63.19, 1: 45; 2: 34; 3: 12; 4: 11; 5: 1; 
MAPK_Cancer_Cell_Fate_Network,  57,  5, 11,  198, 1, 5, 435105, 17788.86, 1, 63.19, 1: 45; 2: 34; 3: 14; 4: 7; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 859,  8,  7,  198, 1, 5, 443520, 17788.86, 1, 63.19, 1: 43; 2: 39; 3: 9; 4: 10; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 622,  8,  7,  198, 1, 5, 443520, 17788.86, 1, 63.19, 1: 48; 2: 33; 3: 7; 4: 12; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 472,  5, 13,  198, 1, 5, 504805, 17788.86, 1, 63.19, 1: 47; 2: 32; 3: 13; 4: 7; 5: 4; 
MAPK_Cancer_Cell_Fate_Network, 434,  5, 13,  199, 1, 5, 504855, 17788.86, 1, 63.19, 1: 48; 2: 30; 3: 14; 4: 6; 5: 5; 
MAPK_Cancer_Cell_Fate_Network,  18,  5, 11,  199, 1, 5, 435105, 17788.86, 1, 63.19, 1: 44; 2: 37; 3: 11; 4: 7; 5: 4; 
MAPK_Cancer_Cell_Fate_Network, 281,  7,  9,  200, 1, 5, 492635, 17788.86, 1, 63.19, 1: 45; 2: 36; 3: 9; 4: 9; 5: 4; 
MAPK_Cancer_Cell_Fate_Network, 683,  5, 13,  201, 1, 5, 504378, 17788.86, 1, 63.19, 1: 47; 2: 32; 3: 10; 4: 10; 5: 4; 
MAPK_Cancer_Cell_Fate_Network, 167,  5, 11,  202, 1, 5, 435105, 17788.86, 1, 63.19, 1: 46; 2: 34; 3: 10; 4: 7; 5: 6; 
MAPK_Cancer_Cell_Fate_Network,  23,  5, 13,  202, 1, 5, 504598, 17788.86, 1, 63.19, 1: 44; 2: 34; 3: 14; 4: 7; 5: 4; 
MAPK_Cancer_Cell_Fate_Network, 142,  5, 11,  203, 1, 5, 435105, 17788.86, 1, 63.19, 1: 48; 2: 29; 3: 12; 4: 9; 5: 5; 
MAPK_Cancer_Cell_Fate_Network, 884,  8,  7,  203, 1, 5, 443520, 17788.86, 1, 63.19, 1: 41; 2: 40; 3: 9; 4: 10; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 868,  5, 11,  205, 1, 5, 435105, 17788.86, 1, 63.19, 1: 47; 2: 33; 3: 7; 4: 9; 5: 7; 
MAPK_Cancer_Cell_Fate_Network, 480,  5, 11,  206, 1, 5, 435105, 17788.86, 1, 63.19, 1: 40; 2: 34; 3: 19; 4: 9; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 141,  7,  9,  207, 1, 5, 492860, 17788.86, 1, 63.19, 1: 43; 2: 34; 3: 11; 4: 12; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 953,  8,  7,  208, 1, 5, 443520, 17788.86, 1, 63.19, 1: 42; 2: 35; 3: 12; 4: 10; 5: 4; 
MAPK_Cancer_Cell_Fate_Network,  95,  6, 10,  160, 1, 6, 473484, 17788.86, 1, 63.19, 1: 65; 2: 27; 3: 7; 4: 1; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 949,  6, 10,  163, 1, 6, 473560, 17788.86, 1, 63.19, 1: 59; 2: 33; 3: 8; 4: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 367,  6, 10,  163, 1, 6, 473502, 17788.86, 1, 63.19, 1: 57; 2: 37; 3: 6; 4: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 204, 10,  6,  164, 1, 6, 473274, 17788.86, 1, 63.19, 1: 62; 2: 29; 3: 8; 4: 1; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 309,  6, 10,  166, 1, 6, 473598, 17788.86, 1, 63.19, 1: 62; 2: 26; 3: 10; 4: 4; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 840, 10,  6,  166, 1, 6, 473554, 17788.86, 1, 63.19, 1: 65; 2: 24; 3: 6; 4: 6; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 191, 10,  6,  166, 1, 6, 473469, 17788.86, 1, 63.19, 1: 65; 2: 25; 3: 6; 4: 4; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 745,  6, 10,  166, 1, 6, 473366, 17788.86, 1, 63.19, 1: 63; 2: 28; 3: 5; 4: 4; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 701, 10,  6,  166, 1, 6, 473491, 17788.86, 1, 63.19, 1: 63; 2: 25; 3: 10; 4: 3; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 643,  6, 10,  167, 1, 6, 473347, 17788.86, 1, 63.19, 1: 59; 2: 32; 3: 8; 4: 1; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 741,  6, 10,  167, 1, 6, 473345, 17788.86, 1, 63.19, 1: 56; 2: 36; 3: 7; 4: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 392,  7,  8,  167, 1, 6, 443520, 17788.86, 1, 63.19, 1: 60; 2: 29; 3: 9; 4: 4; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 514,  7,  8,  167, 1, 6, 443520, 17788.86, 1, 63.19, 1: 62; 2: 29; 3: 6; 4: 2; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 662,  7,  8,  167, 1, 6, 443520, 17788.86, 1, 63.19, 1: 60; 2: 31; 3: 5; 4: 6; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 756,  6, 10,  167, 1, 6, 473610, 17788.86, 1, 63.19, 1: 61; 2: 29; 3: 7; 4: 4; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  91,  6, 10,  168, 1, 6, 473565, 17788.86, 1, 63.19, 1: 63; 2: 24; 3: 11; 4: 2; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 165,  6, 10,  168, 1, 6, 473497, 17788.86, 1, 63.19, 1: 63; 2: 27; 3: 6; 4: 3; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 321,  6, 10,  168, 1, 6, 473466, 17788.86, 1, 63.19, 1: 65; 2: 21; 3: 11; 4: 3; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 973,  7,  8,  168, 1, 6, 443520, 17788.86, 1, 63.19, 1: 60; 2: 30; 3: 9; 4: 1; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 501,  7,  8,  168, 1, 6, 443520, 17788.86, 1, 63.19, 1: 61; 2: 27; 3: 9; 4: 5; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 638,  4, 14,  168, 1, 6, 443520, 17788.86, 1, 63.19, 1: 60; 2: 30; 3: 8; 4: 2; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 891, 10,  6,  168, 1, 6, 473508, 17788.86, 1, 63.19, 1: 60; 2: 28; 3: 11; 4: 2; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 503,  4, 14,  168, 1, 6, 443520, 17788.86, 1, 63.19, 1: 63; 2: 24; 3: 11; 4: 3; 6: 2; 
MAPK_Cancer_Cell_Fate_Network,  22,  7,  8,  169, 1, 6, 443520, 17788.86, 1, 63.19, 1: 60; 2: 27; 3: 12; 4: 2; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 929,  6, 10,  170, 1, 6, 473428, 17788.86, 1, 63.19, 1: 60; 2: 28; 3: 10; 4: 2; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 966,  6, 10,  170, 1, 6, 473468, 17788.86, 1, 63.19, 1: 65; 2: 21; 3: 7; 4: 9; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 957,  6, 10,  170, 1, 6, 473481, 17788.86, 1, 63.19, 1: 62; 2: 26; 3: 9; 4: 2; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 972,  6, 10,  170, 1, 6, 473375, 17788.86, 1, 63.19, 1: 60; 2: 29; 3: 8; 4: 3; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 154,  7,  9,  170, 1, 6, 492682, 17788.86, 1, 63.19, 1: 57; 2: 33; 3: 8; 4: 3; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 842,  7,  8,  170, 1, 6, 443520, 17788.86, 1, 63.19, 1: 61; 2: 26; 3: 11; 4: 2; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 561,  5, 12,  171, 1, 6, 473269, 17788.86, 1, 63.19, 1: 58; 2: 30; 3: 10; 4: 3; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 775, 10,  6,  171, 1, 6, 473305, 17788.86, 1, 63.19, 1: 57; 2: 34; 3: 5; 4: 5; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 899,  6, 10,  171, 1, 6, 473306, 17788.86, 1, 63.19, 1: 59; 2: 30; 3: 8; 4: 3; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 904, 10,  6,  171, 1, 6, 473500, 17788.86, 1, 63.19, 1: 66; 2: 21; 3: 7; 4: 4; 5: 4; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 812,  6, 10,  171, 1, 6, 473284, 17788.86, 1, 63.19, 1: 60; 2: 28; 3: 8; 4: 5; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  21,  6, 10,  171, 1, 6, 473402, 17788.86, 1, 63.19, 1: 60; 2: 28; 3: 9; 4: 4; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 589,  7,  8,  172, 1, 6, 443520, 17788.86, 1, 63.19, 1: 59; 2: 30; 3: 8; 4: 3; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 639, 10,  6,  172, 1, 6, 473532, 17788.86, 1, 63.19, 1: 63; 2: 24; 3: 6; 4: 8; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 353, 10,  6,  172, 1, 6, 473453, 17788.86, 1, 63.19, 1: 63; 2: 23; 3: 9; 4: 5; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 777,  7,  8,  172, 1, 6, 443520, 17788.86, 1, 63.19, 1: 57; 2: 33; 3: 8; 4: 1; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 894,  7,  8,  172, 1, 6, 443520, 17788.86, 1, 63.19, 1: 56; 2: 33; 3: 9; 4: 3; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 867,  4, 14,  172, 1, 6, 443520, 17788.86, 1, 63.19, 1: 56; 2: 31; 3: 12; 4: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 870,  7,  8,  172, 1, 6, 443520, 17788.86, 1, 63.19, 1: 60; 2: 27; 3: 11; 4: 1; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 999,  6, 10,  173, 1, 6, 473492, 17788.86, 1, 63.19, 1: 57; 2: 31; 3: 9; 4: 4; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 195,  7,  8,  173, 1, 6, 443520, 17788.86, 1, 63.19, 1: 59; 2: 30; 3: 7; 4: 4; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 326, 10,  6,  173, 1, 6, 473469, 17788.86, 1, 63.19, 1: 61; 2: 25; 3: 10; 4: 4; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 219,  7,  8,  173, 1, 6, 443520, 17788.86, 1, 63.19, 1: 57; 2: 30; 3: 10; 4: 5; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 673,  4, 14,  173, 1, 6, 443520, 17788.86, 1, 63.19, 1: 60; 2: 27; 3: 9; 4: 4; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 563,  7,  8,  173, 1, 6, 443520, 17788.86, 1, 63.19, 1: 60; 2: 27; 3: 9; 4: 4; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,   6,  5, 12,  173, 1, 6, 473310, 17788.86, 1, 63.19, 1: 57; 2: 32; 3: 7; 4: 5; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 566, 10,  6,  173, 1, 6, 473255, 17788.86, 1, 63.19, 1: 62; 2: 21; 3: 14; 4: 4; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 457,  6, 10,  173, 1, 6, 473447, 17788.86, 1, 63.19, 1: 58; 2: 32; 3: 5; 4: 5; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 452, 10,  6,  173, 1, 6, 473398, 17788.86, 1, 63.19, 1: 57; 2: 31; 3: 10; 4: 2; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 967, 10,  6,  173, 1, 6, 473355, 17788.86, 1, 63.19, 1: 55; 2: 35; 3: 7; 4: 4; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 149,  7,  8,  173, 1, 6, 443520, 17788.86, 1, 63.19, 1: 58; 2: 29; 3: 11; 4: 3; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 873,  6, 10,  173, 1, 6, 473438, 17788.86, 1, 63.19, 1: 56; 2: 35; 3: 7; 4: 2; 6: 3; 
MAPK_Cancer_Cell_Fate_Network, 995,  5, 12,  173, 1, 6, 473206, 17788.86, 1, 63.19, 1: 61; 2: 25; 3: 11; 4: 2; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 423,  6, 10,  173, 1, 6, 473340, 17788.86, 1, 63.19, 1: 56; 2: 31; 3: 11; 4: 4; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  79,  7,  8,  173, 1, 6, 443520, 17788.86, 1, 63.19, 1: 59; 2: 30; 3: 6; 4: 5; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 760,  7,  8,  174, 1, 6, 443520, 17788.86, 1, 63.19, 1: 61; 2: 25; 3: 9; 4: 5; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 105, 10,  6,  174, 1, 6, 473736, 17788.86, 1, 63.19, 1: 59; 2: 28; 3: 9; 4: 4; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,   0,  6, 10,  174, 1, 6, 473579, 17788.86, 1, 63.19, 1: 58; 2: 31; 3: 6; 4: 5; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 762,  6, 10,  174, 1, 6, 473429, 17788.86, 1, 63.19, 1: 61; 2: 27; 3: 8; 4: 2; 5: 3; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 751,  8,  7,  174, 1, 6, 443520, 17788.86, 1, 63.19, 1: 51; 2: 40; 3: 7; 4: 4; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 266,  7,  8,  174, 1, 6, 443520, 17788.86, 1, 63.19, 1: 58; 2: 28; 3: 11; 4: 4; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 352,  7,  8,  174, 1, 6, 443520, 17788.86, 1, 63.19, 1: 58; 2: 29; 3: 11; 4: 2; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 813,  7,  8,  174, 1, 6, 443520, 17788.86, 1, 63.19, 1: 53; 2: 36; 3: 10; 4: 2; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 441,  6, 10,  174, 1, 6, 473241, 17788.86, 1, 63.19, 1: 60; 2: 25; 3: 11; 4: 5; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 820,  7,  8,  174, 1, 6, 443520, 17788.86, 1, 63.19, 1: 58; 2: 29; 3: 10; 4: 4; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 996,  4, 14,  174, 1, 6, 443520, 17788.86, 1, 63.19, 1: 55; 2: 30; 3: 15; 4: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 739, 10,  6,  175, 1, 6, 473459, 17788.86, 1, 63.19, 1: 55; 2: 37; 3: 4; 4: 4; 6: 3; 
MAPK_Cancer_Cell_Fate_Network, 715,  7,  8,  175, 1, 6, 443520, 17788.86, 1, 63.19, 1: 58; 2: 28; 3: 9; 4: 7; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 319,  7,  8,  175, 1, 6, 443520, 17788.86, 1, 63.19, 1: 57; 2: 32; 3: 6; 4: 5; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 487,  5, 12,  175, 1, 6, 473354, 17788.86, 1, 63.19, 1: 54; 2: 33; 3: 12; 4: 2; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 473,  7,  8,  175, 1, 6, 443520, 17788.86, 1, 63.19, 1: 56; 2: 30; 3: 11; 4: 5; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 177,  7,  8,  175, 1, 6, 443520, 17788.86, 1, 63.19, 1: 57; 2: 31; 3: 8; 4: 5; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 938,  5, 12,  175, 1, 6, 473459, 17788.86, 1, 63.19, 1: 57; 2: 33; 3: 5; 4: 4; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 682,  5, 12,  175, 1, 6, 473593, 17788.86, 1, 63.19, 1: 60; 2: 26; 3: 9; 4: 5; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 518, 10,  6,  175, 1, 6, 473460, 17788.86, 1, 63.19, 1: 57; 2: 31; 3: 9; 4: 2; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 462, 10,  6,  175, 1, 6, 473496, 17788.86, 1, 63.19, 1: 58; 2: 30; 3: 7; 4: 5; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 877,  5, 12,  175, 1, 6, 473446, 17788.86, 1, 63.19, 1: 58; 2: 28; 3: 11; 4: 3; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 330,  5, 12,  175, 1, 6, 473408, 17788.86, 1, 63.19, 1: 58; 2: 26; 3: 14; 4: 3; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 512,  4, 14,  176, 1, 6, 443520, 17788.86, 1, 63.19, 1: 59; 2: 26; 3: 10; 4: 6; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 498, 10,  6,  176, 1, 6, 473479, 17788.86, 1, 63.19, 1: 57; 2: 31; 3: 8; 4: 3; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 991, 10,  6,  176, 1, 6, 473400, 17788.86, 1, 63.19, 1: 55; 2: 32; 3: 11; 4: 2; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 836,  7,  8,  176, 1, 6, 443520, 17788.86, 1, 63.19, 1: 55; 2: 30; 3: 15; 4: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 415,  8,  7,  176, 1, 6, 443520, 17788.86, 1, 63.19, 1: 54; 2: 34; 3: 9; 4: 4; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 896,  4, 14,  176, 1, 6, 443520, 17788.86, 1, 63.19, 1: 56; 2: 31; 3: 10; 4: 3; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 663,  7,  8,  176, 1, 6, 443520, 17788.86, 1, 63.19, 1: 55; 2: 36; 3: 3; 4: 6; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 116,  7,  8,  176, 1, 6, 443520, 17788.86, 1, 63.19, 1: 53; 2: 36; 3: 9; 4: 3; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 930, 10,  6,  176, 1, 6, 473507, 17788.86, 1, 63.19, 1: 59; 2: 29; 3: 8; 4: 2; 5: 3; 6: 2; 
