Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
4(987)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network,  73,  7,  9,  178, 1, 4, 492805, 18288.16, 162, 0.00, 1: 54; 2: 28; 3: 16; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 164,  7,  9,  200, 1, 6, 492749, 18288.16, 1, 63.07, 1: 50; 2: 26; 3: 13; 4: 12; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 880, 10,  6,  200, 1, 6, 473391, 18288.16, 1, 63.07, 1: 50; 2: 27; 3: 12; 4: 11; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 472,  5, 13,  200, 1, 6, 504663, 18288.16, 1, 63.07, 1: 50; 2: 24; 3: 16; 4: 12; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 596,  8,  7,  201, 1, 6, 443520, 18288.16, 1, 63.07, 1: 54; 2: 18; 3: 17; 4: 11; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 214,  7,  8,  201, 1, 6, 443520, 18288.16, 1, 63.07, 1: 46; 2: 30; 3: 16; 4: 9; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 613,  6, 10,  201, 1, 6, 473461, 18288.16, 1, 63.07, 1: 48; 2: 26; 3: 19; 4: 7; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 587,  7,  8,  201, 1, 6, 443520, 18288.16, 1, 63.07, 1: 51; 2: 21; 3: 22; 4: 5; 5: 2; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 351, 10,  6,  201, 1, 6, 473440, 18288.16, 1, 63.07, 1: 46; 2: 33; 3: 12; 4: 8; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 463,  5, 11,  201, 1, 6, 435105, 18288.16, 1, 63.07, 1: 46; 2: 28; 3: 19; 4: 9; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 760,  7,  8,  201, 1, 6, 443520, 18288.16, 1, 63.07, 1: 46; 2: 30; 3: 18; 4: 5; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  81,  5, 11,  201, 1, 6, 435105, 18288.16, 1, 63.07, 1: 46; 2: 27; 3: 22; 4: 6; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 977,  8,  7,  201, 1, 6, 443520, 18288.16, 1, 63.07, 1: 51; 2: 24; 3: 16; 4: 7; 5: 4; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 871,  7,  9,  201, 1, 6, 492706, 18288.16, 1, 63.07, 1: 48; 2: 28; 3: 16; 4: 8; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 356,  7,  9,  201, 1, 6, 492779, 18288.16, 1, 63.07, 1: 48; 2: 27; 3: 18; 4: 6; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 120, 10,  6,  201, 1, 6, 473347, 18288.16, 1, 63.07, 1: 48; 2: 29; 3: 12; 4: 12; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 795, 10,  6,  201, 1, 6, 473398, 18288.16, 1, 63.07, 1: 45; 2: 34; 3: 12; 4: 9; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 118,  7,  8,  201, 1, 6, 443520, 18288.16, 1, 63.07, 1: 52; 2: 25; 3: 9; 4: 14; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 295,  6, 10,  201, 1, 6, 473431, 18288.16, 1, 63.07, 1: 49; 2: 25; 3: 18; 4: 9; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 891, 10,  6,  201, 1, 6, 473446, 18288.16, 1, 63.07, 1: 47; 2: 29; 3: 18; 4: 5; 5: 2; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 202, 10,  6,  201, 1, 6, 473398, 18288.16, 1, 63.07, 1: 46; 2: 29; 3: 18; 4: 8; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 730,  7,  8,  201, 1, 6, 443520, 18288.16, 1, 63.07, 1: 51; 2: 28; 3: 10; 4: 8; 5: 4; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 159, 10,  6,  201, 1, 6, 473413, 18288.16, 1, 63.07, 1: 52; 2: 23; 3: 14; 4: 10; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 440,  7,  9,  201, 1, 6, 492882, 18288.16, 1, 63.07, 1: 48; 2: 27; 3: 17; 4: 8; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 698,  6, 10,  201, 1, 6, 473429, 18288.16, 1, 63.07, 1: 45; 2: 31; 3: 18; 4: 7; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 201,  8,  7,  201, 1, 6, 443520, 18288.16, 1, 63.07, 1: 48; 2: 26; 3: 18; 4: 9; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 826, 10,  6,  202, 1, 6, 473401, 18288.16, 1, 63.07, 1: 45; 2: 30; 3: 20; 4: 5; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network,  90,  8,  7,  202, 1, 6, 443520, 18288.16, 1, 63.07, 1: 49; 2: 27; 3: 14; 4: 9; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 262, 10,  6,  202, 1, 6, 473367, 18288.16, 1, 63.07, 1: 51; 2: 25; 3: 12; 4: 11; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 729,  5, 12,  202, 1, 6, 473413, 18288.16, 1, 63.07, 1: 45; 2: 30; 3: 17; 4: 10; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 943,  6, 10,  202, 1, 6, 473388, 18288.16, 1, 63.07, 1: 50; 2: 23; 3: 19; 4: 8; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 219,  7,  8,  202, 1, 6, 443520, 18288.16, 1, 63.07, 1: 45; 2: 31; 3: 16; 4: 9; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 309,  6, 10,  202, 1, 6, 473435, 18288.16, 1, 63.07, 1: 49; 2: 24; 3: 18; 4: 10; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 925, 10,  6,  202, 1, 6, 473430, 18288.16, 1, 63.07, 1: 52; 2: 24; 3: 12; 4: 11; 5: 2; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 139,  7,  8,  202, 1, 6, 443520, 18288.16, 1, 63.07, 1: 49; 2: 23; 3: 21; 4: 7; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  45,  8,  7,  202, 1, 6, 443520, 18288.16, 1, 63.07, 1: 48; 2: 30; 3: 15; 4: 3; 5: 5; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 641,  5, 13,  202, 1, 6, 504758, 18288.16, 1, 63.07, 1: 46; 2: 32; 3: 12; 4: 10; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 632,  7,  8,  202, 1, 6, 443520, 18288.16, 1, 63.07, 1: 55; 2: 19; 3: 14; 4: 11; 5: 1; 6: 3; 
MAPK_Cancer_Cell_Fate_Network, 810, 10,  6,  202, 1, 6, 473431, 18288.16, 1, 63.07, 1: 52; 2: 22; 3: 15; 4: 10; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 420,  6, 10,  202, 1, 6, 473444, 18288.16, 1, 63.07, 1: 45; 2: 30; 3: 17; 4: 10; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  39,  8,  7,  202, 1, 6, 443520, 18288.16, 1, 63.07, 1: 50; 2: 20; 3: 23; 4: 8; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 162,  5, 13,  203, 1, 6, 504654, 18288.16, 1, 63.07, 1: 49; 2: 25; 3: 15; 4: 12; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 563,  7,  8,  203, 1, 6, 443520, 18288.16, 1, 63.07, 1: 46; 2: 32; 3: 11; 4: 11; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 882,  5, 13,  203, 1, 6, 504782, 18288.16, 1, 63.07, 1: 44; 2: 32; 3: 17; 4: 8; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 705,  8,  7,  203, 1, 6, 443520, 18288.16, 1, 63.07, 1: 51; 2: 27; 3: 11; 4: 9; 5: 1; 6: 4; 
MAPK_Cancer_Cell_Fate_Network,  34,  5, 11,  203, 1, 6, 435105, 18288.16, 1, 63.07, 1: 47; 2: 27; 3: 17; 4: 10; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 342, 10,  6,  203, 1, 6, 473398, 18288.16, 1, 63.07, 1: 48; 2: 26; 3: 17; 4: 9; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 955,  8,  7,  203, 1, 6, 443520, 18288.16, 1, 63.07, 1: 48; 2: 25; 3: 18; 4: 10; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 338,  7,  8,  203, 1, 6, 443520, 18288.16, 1, 63.07, 1: 47; 2: 27; 3: 17; 4: 10; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 993, 10,  6,  203, 1, 6, 473382, 18288.16, 1, 63.07, 1: 49; 2: 28; 3: 13; 4: 8; 5: 3; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 905,  7,  8,  203, 1, 6, 443520, 18288.16, 1, 63.07, 1: 46; 2: 32; 3: 11; 4: 12; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 291,  5, 11,  203, 1, 6, 435105, 18288.16, 1, 63.07, 1: 50; 2: 23; 3: 16; 4: 12; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 160,  7,  8,  203, 1, 6, 443520, 18288.16, 1, 63.07, 1: 47; 2: 31; 3: 13; 4: 8; 5: 1; 6: 3; 
MAPK_Cancer_Cell_Fate_Network, 910,  5, 12,  204, 1, 6, 473427, 18288.16, 1, 63.07, 1: 44; 2: 32; 3: 15; 4: 10; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 319,  7,  8,  204, 1, 6, 443520, 18288.16, 1, 63.07, 1: 43; 2: 35; 3: 14; 4: 7; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 436,  7,  8,  204, 1, 6, 443520, 18288.16, 1, 63.07, 1: 44; 2: 33; 3: 14; 4: 9; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 257,  5, 13,  204, 1, 6, 504708, 18288.16, 1, 63.07, 1: 49; 2: 24; 3: 15; 4: 14; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 870,  7,  8,  204, 1, 6, 443520, 18288.16, 1, 63.07, 1: 52; 2: 24; 3: 11; 4: 11; 5: 3; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 819, 10,  6,  204, 1, 6, 473439, 18288.16, 1, 63.07, 1: 48; 2: 27; 3: 15; 4: 9; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 228,  7,  9,  204, 1, 6, 492774, 18288.16, 1, 63.07, 1: 49; 2: 25; 3: 17; 4: 9; 6: 3; 
MAPK_Cancer_Cell_Fate_Network, 413,  6, 10,  204, 1, 6, 473450, 18288.16, 1, 63.07, 1: 45; 2: 32; 3: 14; 4: 9; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 750,  5, 12,  204, 1, 6, 473482, 18288.16, 1, 63.07, 1: 48; 2: 26; 3: 15; 4: 12; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 763,  5, 13,  204, 1, 6, 504600, 18288.16, 1, 63.07, 1: 45; 2: 30; 3: 15; 4: 12; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 350,  7,  9,  204, 1, 6, 492666, 18288.16, 1, 63.07, 1: 47; 2: 27; 3: 17; 4: 9; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 155,  5, 13,  204, 1, 6, 504639, 18288.16, 1, 63.07, 1: 45; 2: 29; 3: 19; 4: 7; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 476,  8,  7,  204, 1, 6, 443520, 18288.16, 1, 63.07, 1: 45; 2: 31; 3: 15; 4: 9; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 233,  8,  7,  204, 1, 6, 443520, 18288.16, 1, 63.07, 1: 45; 2: 34; 3: 10; 4: 11; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 434,  5, 13,  204, 1, 6, 504711, 18288.16, 1, 63.07, 1: 42; 2: 34; 3: 16; 4: 10; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 971,  6, 10,  204, 1, 6, 473439, 18288.16, 1, 63.07, 1: 44; 2: 35; 3: 12; 4: 9; 6: 3; 
MAPK_Cancer_Cell_Fate_Network, 972,  6, 10,  204, 1, 6, 473462, 18288.16, 1, 63.07, 1: 47; 2: 30; 3: 12; 4: 10; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 507,  8,  7,  205, 1, 6, 443520, 18288.16, 1, 63.07, 1: 49; 2: 26; 3: 14; 4: 10; 5: 2; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 913,  6, 10,  205, 1, 6, 473470, 18288.16, 1, 63.07, 1: 48; 2: 29; 3: 10; 4: 12; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  68,  5, 12,  205, 1, 6, 473371, 18288.16, 1, 63.07, 1: 48; 2: 26; 3: 15; 4: 11; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 704, 10,  6,  205, 1, 6, 473416, 18288.16, 1, 63.07, 1: 49; 2: 27; 3: 14; 4: 8; 5: 2; 6: 3; 
MAPK_Cancer_Cell_Fate_Network, 422,  5, 12,  205, 1, 6, 473448, 18288.16, 1, 63.07, 1: 49; 2: 23; 3: 17; 4: 12; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 929,  6, 10,  205, 1, 6, 473408, 18288.16, 1, 63.07, 1: 47; 2: 27; 3: 16; 4: 10; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 113,  5, 12,  205, 1, 6, 473396, 18288.16, 1, 63.07, 1: 45; 2: 30; 3: 15; 4: 11; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 586,  8,  7,  205, 1, 6, 443520, 18288.16, 1, 63.07, 1: 48; 2: 32; 3: 8; 4: 9; 5: 3; 6: 3; 
MAPK_Cancer_Cell_Fate_Network, 754,  7,  8,  205, 1, 6, 443520, 18288.16, 1, 63.07, 1: 44; 2: 30; 3: 18; 4: 9; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 726,  6, 10,  205, 1, 6, 473460, 18288.16, 1, 63.07, 1: 46; 2: 30; 3: 13; 4: 11; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 279,  7,  9,  205, 1, 6, 492816, 18288.16, 1, 63.07, 1: 45; 2: 32; 3: 12; 4: 11; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 769,  5, 12,  205, 1, 6, 473439, 18288.16, 1, 63.07, 1: 48; 2: 25; 3: 16; 4: 12; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 709, 10,  6,  206, 1, 6, 473394, 18288.16, 1, 63.07, 1: 44; 2: 35; 3: 10; 4: 11; 6: 3; 
MAPK_Cancer_Cell_Fate_Network, 665,  6, 10,  206, 1, 6, 473452, 18288.16, 1, 63.07, 1: 46; 2: 29; 3: 16; 4: 7; 5: 4; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  15, 10,  6,  206, 1, 6, 473409, 18288.16, 1, 63.07, 1: 48; 2: 28; 3: 14; 4: 7; 5: 4; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 506,  8,  7,  206, 1, 6, 443520, 18288.16, 1, 63.07, 1: 54; 2: 17; 3: 17; 4: 10; 5: 3; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 789, 10,  6,  206, 1, 6, 473363, 18288.16, 1, 63.07, 1: 48; 2: 26; 3: 15; 4: 10; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 453,  5, 12,  206, 1, 6, 473418, 18288.16, 1, 63.07, 1: 45; 2: 31; 3: 13; 4: 11; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 379,  5, 13,  206, 1, 6, 504908, 18288.16, 1, 63.07, 1: 45; 2: 29; 3: 16; 4: 11; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 640,  5, 11,  206, 1, 6, 435105, 18288.16, 1, 63.07, 1: 43; 2: 30; 3: 20; 4: 8; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 459,  5, 11,  206, 1, 6, 435105, 18288.16, 1, 63.07, 1: 48; 2: 26; 3: 15; 4: 11; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 688,  7,  9,  206, 1, 6, 492721, 18288.16, 1, 63.07, 1: 45; 2: 31; 3: 15; 4: 9; 6: 3; 
MAPK_Cancer_Cell_Fate_Network, 430,  7,  9,  206, 1, 6, 492759, 18288.16, 1, 63.07, 1: 43; 2: 33; 3: 13; 4: 13; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 591, 10,  6,  206, 1, 6, 473429, 18288.16, 1, 63.07, 1: 47; 2: 29; 3: 14; 4: 8; 5: 3; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 884,  8,  7,  206, 1, 6, 443520, 18288.16, 1, 63.07, 1: 50; 2: 29; 3: 8; 4: 10; 5: 2; 6: 4; 
MAPK_Cancer_Cell_Fate_Network, 397, 10,  6,  206, 1, 6, 473398, 18288.16, 1, 63.07, 1: 43; 2: 31; 3: 18; 4: 9; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  99,  8,  7,  207, 1, 6, 443520, 18288.16, 1, 63.07, 1: 44; 2: 33; 3: 12; 4: 10; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  72,  7,  9,  207, 1, 6, 492743, 18288.16, 1, 63.07, 1: 46; 2: 28; 3: 16; 4: 10; 5: 1; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 592,  5, 12,  207, 1, 6, 473379, 18288.16, 1, 63.07, 1: 44; 2: 32; 3: 12; 4: 13; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 494,  7,  8,  207, 1, 6, 443520, 18288.16, 1, 63.07, 1: 50; 2: 23; 3: 13; 4: 14; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  85,  5, 13,  207, 1, 6, 504666, 18288.16, 1, 63.07, 1: 42; 2: 36; 3: 13; 4: 8; 5: 2; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 793,  7,  8,  207, 1, 6, 443520, 18288.16, 1, 63.07, 1: 46; 2: 32; 3: 9; 4: 12; 5: 2; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 849,  7,  9,  207, 1, 6, 492774, 18288.16, 1, 63.07, 1: 51; 2: 26; 3: 10; 4: 7; 5: 8; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 121,  7,  8,  207, 1, 6, 443520, 18288.16, 1, 63.07, 1: 47; 2: 28; 3: 16; 4: 7; 5: 2; 6: 3; 
MAPK_Cancer_Cell_Fate_Network,  31,  7,  9,  207, 1, 6, 492729, 18288.16, 1, 63.07, 1: 48; 2: 25; 3: 16; 4: 10; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  51,  5, 11,  207, 1, 6, 435105, 18288.16, 1, 63.07, 1: 50; 2: 20; 3: 19; 4: 11; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 639, 10,  6,  208, 1, 6, 473421, 18288.16, 1, 63.07, 1: 51; 2: 22; 3: 14; 4: 11; 5: 3; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 555,  7,  9,  208, 1, 6, 492740, 18288.16, 1, 63.07, 1: 47; 2: 31; 3: 9; 4: 11; 5: 2; 6: 3; 
MAPK_Cancer_Cell_Fate_Network,  97,  5, 13,  208, 1, 6, 504730, 18288.16, 1, 63.07, 1: 44; 2: 31; 3: 13; 4: 13; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 103,  5, 13,  208, 1, 6, 504607, 18288.16, 1, 63.07, 1: 42; 2: 32; 3: 16; 4: 12; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 300,  5, 12,  208, 1, 6, 473394, 18288.16, 1, 63.07, 1: 42; 2: 33; 3: 14; 4: 13; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 862,  8,  7,  208, 1, 6, 443520, 18288.16, 1, 63.07, 1: 47; 2: 25; 3: 18; 4: 9; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 485,  6, 10,  208, 1, 6, 473409, 18288.16, 1, 63.07, 1: 47; 2: 24; 3: 20; 4: 8; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 250,  5, 12,  209, 1, 6, 473425, 18288.16, 1, 63.07, 1: 48; 2: 26; 3: 15; 4: 9; 5: 2; 6: 3; 
MAPK_Cancer_Cell_Fate_Network, 249,  5, 12,  209, 1, 6, 473449, 18288.16, 1, 63.07, 1: 44; 2: 30; 3: 15; 4: 11; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 481, 10,  6,  209, 1, 6, 473378, 18288.16, 1, 63.07, 1: 48; 2: 24; 3: 17; 4: 9; 5: 4; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,   6,  5, 12,  209, 1, 6, 473400, 18288.16, 1, 63.07, 1: 41; 2: 32; 3: 18; 4: 11; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 758,  8,  7,  209, 1, 6, 443520, 18288.16, 1, 63.07, 1: 46; 2: 27; 3: 20; 4: 3; 5: 5; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 876,  7,  8,  209, 1, 6, 443520, 18288.16, 1, 63.07, 1: 45; 2: 29; 3: 16; 4: 9; 5: 2; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 458,  5, 13,  209, 1, 6, 504607, 18288.16, 1, 63.07, 1: 48; 2: 24; 3: 17; 4: 9; 5: 4; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 712,  5, 12,  209, 1, 6, 473359, 18288.16, 1, 63.07, 1: 44; 2: 29; 3: 17; 4: 10; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 814,  6, 10,  209, 1, 6, 473423, 18288.16, 1, 63.07, 1: 42; 2: 32; 3: 20; 4: 5; 5: 1; 6: 3; 
MAPK_Cancer_Cell_Fate_Network, 657,  5, 11,  209, 1, 6, 435105, 18288.16, 1, 63.07, 1: 42; 2: 33; 3: 14; 4: 12; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 301,  5, 11,  209, 1, 6, 435105, 18288.16, 1, 63.07, 1: 44; 2: 29; 3: 15; 4: 14; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 686,  7,  9,  209, 1, 6, 492671, 18288.16, 1, 63.07, 1: 43; 2: 33; 3: 12; 4: 12; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 683,  5, 13,  209, 1, 6, 504654, 18288.16, 1, 63.07, 1: 49; 2: 24; 3: 11; 4: 17; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 322,  5, 13,  209, 1, 6, 504482, 18288.16, 1, 63.07, 1: 46; 2: 26; 3: 15; 4: 15; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 101,  5, 12,  209, 1, 6, 473404, 18288.16, 1, 63.07, 1: 47; 2: 27; 3: 16; 4: 7; 5: 4; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 668,  5, 12,  210, 1, 6, 473467, 18288.16, 1, 63.07, 1: 46; 2: 28; 3: 14; 4: 10; 5: 4; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  80,  5, 13,  210, 1, 6, 504537, 18288.16, 1, 63.07, 1: 47; 2: 26; 3: 13; 4: 14; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 245,  5, 11,  210, 1, 6, 435105, 18288.16, 0, 63.07, 1: 45; 2: 27; 3: 16; 4: 13; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 389, 10,  6,  210, 1, 6, 473444, 18288.16, 1, 63.07, 1: 44; 2: 32; 3: 13; 4: 9; 5: 3; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 384,  5, 11,  210, 1, 6, 435105, 18288.16, 1, 63.07, 1: 40; 2: 35; 3: 16; 4: 10; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 189,  5, 11,  210, 1, 6, 435105, 18288.16, 1, 63.07, 1: 47; 2: 25; 3: 14; 4: 15; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 212,  5, 11,  210, 1, 6, 435105, 18288.16, 1, 63.07, 1: 46; 2: 25; 3: 17; 4: 13; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 822,  5, 12,  210, 1, 6, 473424, 18288.16, 1, 63.07, 1: 42; 2: 34; 3: 14; 4: 9; 5: 2; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 877,  5, 12,  210, 1, 6, 473498, 18288.16, 1, 63.07, 1: 46; 2: 23; 3: 20; 4: 13; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 618,  5, 12,  210, 1, 6, 473476, 18288.16, 1, 63.07, 1: 43; 2: 29; 3: 17; 4: 13; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 725,  6, 10,  211, 1, 6, 473453, 18288.16, 1, 63.07, 1: 42; 2: 34; 3: 12; 4: 11; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 674,  5, 11,  211, 1, 6, 435105, 18288.16, 1, 63.07, 1: 41; 2: 31; 3: 20; 4: 8; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 495,  5, 12,  211, 1, 6, 473644, 18288.16, 1, 63.07, 1: 42; 2: 30; 3: 20; 4: 7; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 344,  5, 11,  211, 1, 6, 435105, 18288.16, 1, 63.07, 1: 45; 2: 28; 3: 15; 4: 11; 5: 3; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 912,  5, 13,  211, 1, 6, 504742, 18288.16, 0, 63.07, 1: 49; 2: 22; 3: 14; 4: 15; 5: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 554,  5, 12,  211, 1, 6, 473399, 18288.16, 1, 63.07, 1: 42; 2: 31; 3: 17; 4: 11; 6: 2; 
MAPK_Cancer_Cell_Fate_Network, 792,  7,  8,  211, 1, 6, 443520, 18288.16, 1, 63.07, 1: 44; 2: 28; 3: 21; 4: 5; 5: 2; 6: 3; 
MAPK_Cancer_Cell_Fate_Network, 377, 10,  6,  211, 1, 6, 473421, 18288.16, 1, 63.07, 1: 48; 2: 24; 3: 16; 4: 11; 5: 1; 6: 3; 
MAPK_Cancer_Cell_Fate_Network,  86,  5, 12,  212, 1, 6, 473481, 18288.16, 1, 63.07, 1: 40; 2: 34; 3: 15; 4: 12; 5: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network,  87,  7,  9,  212, 1, 6, 492708, 18288.16, 1, 63.07, 1: 40; 2: 36; 3: 14; 4: 8; 5: 4; 6: 1; 
