Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
53(788)
Melhor resultado nxn: CD4_T_cell_signaling,  81, 14, 14,  496, 1, 3, 1583841, 110173.38, 0, 0.00, 1: 205; 2: 132; 3: 9; 
CD4_T_cell_signaling, 132,  8, 26,  539, 0, 5, 1664165, 110173.38, 1, 226.77, 0: 4; 1: 195; 2: 116; 3: 16; 4: 11; 5: 4; 
CD4_T_cell_signaling, 823, 14, 14,  539, 0, 5, 1583865, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 128; 3: 16; 4: 11; 5: 1; 
CD4_T_cell_signaling,  52, 12, 16,  539, 0, 5, 1539724, 110173.38, 1, 226.77, 0: 4; 1: 189; 2: 126; 3: 14; 4: 9; 5: 4; 
CD4_T_cell_signaling, 499, 16, 12,  539, 0, 5, 1539658, 110173.38, 1, 226.77, 0: 4; 1: 194; 2: 112; 3: 25; 4: 9; 5: 2; 
CD4_T_cell_signaling,  77,  8, 24,  539, 0, 5, 1539714, 110173.38, 1, 226.77, 0: 4; 1: 185; 2: 128; 3: 20; 4: 7; 5: 2; 
CD4_T_cell_signaling, 388, 10, 19,  540, 0, 5, 1526103, 110173.38, 1, 226.77, 0: 4; 1: 185; 2: 127; 3: 20; 4: 9; 5: 1; 
CD4_T_cell_signaling, 514,  9, 23,  540, 0, 5, 1649334, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 120; 3: 26; 4: 6; 5: 2; 
CD4_T_cell_signaling, 780,  8, 25,  540, 0, 5, 1606340, 110173.38, 1, 226.77, 0: 4; 1: 185; 2: 126; 3: 23; 4: 6; 5: 2; 
CD4_T_cell_signaling, 807,  8, 24,  540, 0, 5, 1539720, 110173.38, 1, 226.77, 0: 4; 1: 179; 2: 136; 3: 20; 4: 6; 5: 1; 
CD4_T_cell_signaling, 997,  8, 24,  540, 0, 5, 1539741, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 128; 3: 17; 4: 8; 5: 3; 
CD4_T_cell_signaling, 363, 16, 12,  540, 0, 5, 1539682, 110173.38, 1, 226.77, 0: 4; 1: 190; 2: 116; 3: 27; 4: 8; 5: 1; 
CD4_T_cell_signaling, 833,  8, 26,  540, 0, 5, 1664506, 110173.38, 1, 226.77, 0: 4; 1: 183; 2: 131; 3: 19; 4: 7; 5: 2; 
CD4_T_cell_signaling, 228,  9, 21,  540, 0, 5, 1527876, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 116; 3: 24; 4: 10; 5: 1; 
CD4_T_cell_signaling,   2, 10, 19,  540, 0, 5, 1526100, 110173.38, 1, 226.77, 0: 4; 1: 183; 2: 133; 3: 15; 4: 9; 5: 2; 
CD4_T_cell_signaling, 163, 12, 16,  540, 0, 5, 1539726, 110173.38, 1, 226.77, 0: 4; 1: 183; 2: 129; 3: 22; 4: 7; 5: 1; 
CD4_T_cell_signaling, 927, 14, 14,  540, 0, 5, 1583689, 110173.38, 1, 226.77, 0: 4; 1: 181; 2: 134; 3: 19; 4: 6; 5: 2; 
CD4_T_cell_signaling, 601, 14, 14,  540, 0, 5, 1583763, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 123; 3: 19; 4: 11; 5: 1; 
CD4_T_cell_signaling, 480, 12, 17,  540, 0, 5, 1626238, 110173.38, 1, 226.77, 0: 4; 1: 195; 2: 116; 3: 17; 4: 8; 5: 6; 
CD4_T_cell_signaling,  40, 14, 14,  540, 0, 5, 1583833, 110173.38, 1, 226.77, 0: 4; 1: 183; 2: 129; 3: 22; 4: 7; 5: 1; 
CD4_T_cell_signaling, 309, 12, 16,  540, 0, 5, 1539654, 110173.38, 1, 226.77, 0: 4; 1: 194; 2: 116; 3: 17; 4: 12; 5: 3; 
CD4_T_cell_signaling, 687,  9, 22,  540, 0, 5, 1595462, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 129; 3: 14; 4: 11; 5: 2; 
CD4_T_cell_signaling, 396, 16, 12,  540, 0, 5, 1539663, 110173.38, 1, 226.77, 0: 4; 1: 185; 2: 129; 3: 17; 4: 9; 5: 2; 
CD4_T_cell_signaling,  67,  9, 21,  540, 0, 5, 1527876, 110173.38, 1, 226.77, 0: 4; 1: 184; 2: 127; 3: 23; 4: 7; 5: 1; 
CD4_T_cell_signaling, 477, 14, 14,  540, 0, 5, 1583710, 110173.38, 1, 226.77, 0: 4; 1: 182; 2: 132; 3: 20; 4: 6; 5: 2; 
CD4_T_cell_signaling, 571,  8, 26,  540, 0, 5, 1664349, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 122; 3: 27; 4: 6; 5: 1; 
CD4_T_cell_signaling, 489, 10, 20,  540, 0, 5, 1606539, 110173.38, 1, 226.77, 0: 4; 1: 192; 2: 115; 3: 23; 4: 11; 5: 1; 
CD4_T_cell_signaling, 569,  9, 23,  540, 0, 5, 1649887, 110173.38, 1, 226.77, 0: 4; 1: 189; 2: 117; 3: 30; 4: 3; 5: 3; 
CD4_T_cell_signaling, 693,  8, 25,  540, 0, 5, 1606526, 110173.38, 1, 226.77, 0: 4; 1: 192; 2: 114; 3: 25; 4: 10; 5: 1; 
CD4_T_cell_signaling, 160, 12, 17,  540, 0, 5, 1626285, 110173.38, 1, 226.77, 0: 4; 1: 190; 2: 119; 3: 22; 4: 9; 5: 2; 
CD4_T_cell_signaling, 403, 10, 19,  541, 0, 5, 1526098, 110173.38, 1, 226.77, 0: 4; 1: 183; 2: 130; 3: 20; 4: 7; 5: 2; 
CD4_T_cell_signaling, 250,  9, 21,  541, 0, 5, 1527876, 110173.38, 1, 226.77, 0: 4; 1: 179; 2: 133; 3: 25; 4: 4; 5: 1; 
CD4_T_cell_signaling, 830, 12, 16,  541, 0, 5, 1539731, 110173.38, 1, 226.77, 0: 4; 1: 176; 2: 143; 3: 15; 4: 6; 5: 2; 
CD4_T_cell_signaling, 945,  8, 25,  541, 0, 5, 1606553, 110173.38, 1, 226.77, 0: 4; 1: 185; 2: 128; 3: 17; 4: 11; 5: 1; 
CD4_T_cell_signaling, 648, 14, 14,  541, 0, 5, 1583686, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 123; 3: 19; 4: 10; 5: 2; 
CD4_T_cell_signaling, 957, 10, 19,  541, 0, 5, 1526087, 110173.38, 1, 226.77, 0: 4; 1: 187; 2: 122; 3: 23; 4: 9; 5: 1; 
CD4_T_cell_signaling, 903, 16, 12,  541, 0, 5, 1539669, 110173.38, 1, 226.77, 0: 4; 1: 190; 2: 119; 3: 20; 4: 12; 5: 1; 
CD4_T_cell_signaling, 312,  9, 23,  541, 0, 5, 1649398, 110173.38, 1, 226.77, 0: 4; 1: 197; 2: 108; 3: 24; 4: 9; 5: 4; 
CD4_T_cell_signaling, 199,  9, 22,  541, 0, 5, 1595608, 110173.38, 1, 226.77, 0: 4; 1: 190; 2: 121; 3: 18; 4: 10; 5: 3; 
CD4_T_cell_signaling, 326, 11, 18,  541, 0, 5, 1595345, 110173.38, 1, 226.77, 0: 4; 1: 192; 2: 117; 3: 18; 4: 14; 5: 1; 
CD4_T_cell_signaling, 954, 13, 15,  541, 0, 5, 1568200, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 127; 3: 17; 4: 10; 5: 2; 
CD4_T_cell_signaling, 101, 13, 15,  541, 0, 5, 1568157, 110173.38, 1, 226.77, 0: 4; 1: 187; 2: 125; 3: 18; 4: 10; 5: 2; 
CD4_T_cell_signaling, 566,  9, 21,  541, 0, 5, 1527876, 110173.38, 1, 226.77, 0: 4; 1: 192; 2: 117; 3: 21; 4: 8; 5: 4; 
CD4_T_cell_signaling, 682, 16, 12,  541, 0, 5, 1539778, 110173.38, 1, 226.77, 0: 4; 1: 187; 2: 124; 3: 21; 4: 7; 5: 3; 
CD4_T_cell_signaling, 373,  8, 26,  541, 0, 5, 1664373, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 115; 3: 26; 4: 8; 5: 2; 
CD4_T_cell_signaling, 254,  8, 26,  541, 0, 5, 1664362, 110173.38, 1, 226.77, 0: 4; 1: 190; 2: 117; 3: 24; 4: 10; 5: 1; 
CD4_T_cell_signaling, 452,  8, 24,  541, 0, 5, 1539772, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 122; 3: 27; 4: 5; 5: 2; 
CD4_T_cell_signaling, 593,  9, 22,  542, 0, 5, 1595481, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 123; 3: 17; 4: 13; 5: 1; 
CD4_T_cell_signaling, 158,  9, 23,  542, 0, 5, 1649751, 110173.38, 1, 226.77, 0: 4; 1: 189; 2: 118; 3: 25; 4: 8; 5: 2; 
CD4_T_cell_signaling, 427,  8, 26,  542, 0, 5, 1664134, 110173.38, 1, 226.77, 0: 4; 1: 183; 2: 129; 3: 21; 4: 7; 5: 2; 
CD4_T_cell_signaling, 802,  9, 22,  542, 0, 5, 1595710, 110173.38, 1, 226.77, 0: 4; 1: 185; 2: 128; 3: 19; 4: 6; 5: 4; 
CD4_T_cell_signaling, 327,  8, 26,  542, 0, 5, 1664328, 110173.38, 1, 226.77, 0: 4; 1: 192; 2: 113; 3: 26; 4: 9; 5: 2; 
CD4_T_cell_signaling, 345, 12, 16,  542, 0, 5, 1539688, 110173.38, 1, 226.77, 0: 4; 1: 187; 2: 121; 3: 24; 4: 9; 5: 1; 
CD4_T_cell_signaling, 747, 13, 15,  542, 0, 5, 1568087, 110173.38, 1, 226.77, 0: 4; 1: 194; 2: 115; 3: 18; 4: 11; 5: 4; 
CD4_T_cell_signaling, 243, 10, 20,  542, 0, 5, 1606197, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 122; 3: 21; 4: 8; 5: 3; 
CD4_T_cell_signaling, 610,  9, 23,  542, 0, 5, 1649939, 110173.38, 1, 226.77, 0: 4; 1: 192; 2: 115; 3: 25; 4: 5; 5: 5; 
CD4_T_cell_signaling, 812,  9, 22,  542, 0, 5, 1595427, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 120; 3: 29; 4: 6; 5: 1; 
CD4_T_cell_signaling, 827,  8, 24,  542, 0, 5, 1539705, 110173.38, 1, 226.77, 0: 4; 1: 179; 2: 134; 3: 23; 4: 4; 5: 2; 
CD4_T_cell_signaling, 460,  9, 22,  542, 0, 5, 1595529, 110173.38, 1, 226.77, 0: 4; 1: 192; 2: 115; 3: 23; 4: 9; 5: 3; 
CD4_T_cell_signaling, 614,  9, 23,  542, 0, 5, 1649832, 110173.38, 1, 226.77, 0: 4; 1: 179; 2: 133; 3: 24; 4: 5; 5: 1; 
CD4_T_cell_signaling, 463, 12, 17,  542, 0, 5, 1625632, 110173.38, 1, 226.77, 0: 4; 1: 193; 2: 116; 3: 20; 4: 8; 5: 5; 
CD4_T_cell_signaling, 793, 14, 14,  542, 0, 5, 1583726, 110173.38, 1, 226.77, 0: 4; 1: 182; 2: 133; 3: 16; 4: 9; 5: 2; 
CD4_T_cell_signaling, 683, 15, 13,  543, 0, 5, 1568127, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 126; 3: 17; 4: 11; 5: 2; 
CD4_T_cell_signaling,  89, 14, 14,  543, 0, 5, 1583709, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 125; 3: 18; 4: 12; 5: 1; 
CD4_T_cell_signaling, 413,  8, 25,  543, 0, 5, 1606521, 110173.38, 1, 226.77, 0: 4; 1: 187; 2: 121; 3: 25; 4: 6; 5: 3; 
CD4_T_cell_signaling, 190, 14, 14,  543, 0, 5, 1583667, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 117; 3: 20; 4: 12; 5: 2; 
CD4_T_cell_signaling, 670, 12, 16,  543, 0, 5, 1539743, 110173.38, 1, 226.77, 0: 4; 1: 183; 2: 127; 3: 23; 4: 8; 5: 1; 
CD4_T_cell_signaling, 534,  9, 21,  543, 0, 5, 1527876, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 119; 3: 17; 4: 12; 5: 3; 
CD4_T_cell_signaling, 154, 11, 18,  543, 0, 5, 1595469, 110173.38, 1, 226.77, 0: 4; 1: 192; 2: 116; 3: 19; 4: 13; 5: 2; 
CD4_T_cell_signaling, 136,  8, 25,  543, 0, 5, 1606574, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 118; 3: 21; 4: 7; 5: 5; 
CD4_T_cell_signaling, 530, 11, 18,  543, 0, 5, 1595599, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 117; 3: 22; 4: 8; 5: 4; 
CD4_T_cell_signaling, 528, 10, 20,  543, 0, 5, 1606413, 110173.38, 1, 226.77, 0: 4; 1: 182; 2: 129; 3: 23; 4: 6; 5: 2; 
CD4_T_cell_signaling, 835, 10, 20,  543, 0, 5, 1606713, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 116; 3: 23; 4: 9; 5: 3; 
CD4_T_cell_signaling, 351, 13, 15,  543, 0, 5, 1568183, 110173.38, 1, 226.77, 0: 4; 1: 183; 2: 128; 3: 23; 4: 5; 5: 3; 
CD4_T_cell_signaling, 820,  8, 26,  543, 0, 5, 1663610, 110173.38, 1, 226.77, 0: 4; 1: 192; 2: 113; 3: 26; 4: 8; 5: 3; 
CD4_T_cell_signaling, 453, 11, 18,  543, 0, 5, 1595519, 110173.38, 1, 226.77, 0: 4; 1: 181; 2: 128; 3: 27; 4: 5; 5: 1; 
CD4_T_cell_signaling, 209,  9, 21,  543, 0, 5, 1527876, 110173.38, 1, 226.77, 0: 4; 1: 187; 2: 124; 3: 19; 4: 9; 5: 3; 
CD4_T_cell_signaling, 796, 15, 13,  543, 0, 5, 1568274, 110173.38, 1, 226.77, 0: 4; 1: 177; 2: 138; 3: 19; 4: 7; 5: 1; 
CD4_T_cell_signaling, 847,  9, 21,  543, 0, 5, 1527876, 110173.38, 1, 226.77, 0: 4; 1: 189; 2: 120; 3: 21; 4: 9; 5: 3; 
CD4_T_cell_signaling, 341, 10, 20,  543, 0, 5, 1606632, 110173.38, 1, 226.77, 0: 4; 1: 187; 2: 126; 3: 17; 4: 7; 5: 5; 
CD4_T_cell_signaling,  69, 10, 19,  543, 0, 5, 1526105, 110173.38, 1, 226.77, 0: 4; 1: 184; 2: 127; 3: 20; 4: 10; 5: 1; 
CD4_T_cell_signaling, 662,  8, 26,  543, 0, 5, 1664137, 110173.38, 1, 226.77, 0: 4; 1: 187; 2: 119; 3: 27; 4: 8; 5: 1; 
CD4_T_cell_signaling, 607,  9, 21,  543, 0, 5, 1527876, 110173.38, 1, 226.77, 0: 4; 1: 180; 2: 132; 3: 22; 4: 7; 5: 1; 
CD4_T_cell_signaling, 941,  8, 25,  543, 0, 5, 1606578, 110173.38, 1, 226.77, 0: 4; 1: 195; 2: 109; 3: 24; 4: 12; 5: 2; 
CD4_T_cell_signaling, 907,  9, 21,  543, 0, 5, 1527876, 110173.38, 1, 226.77, 0: 4; 1: 190; 2: 116; 3: 25; 4: 9; 5: 2; 
CD4_T_cell_signaling, 230, 16, 12,  543, 0, 5, 1539736, 110173.38, 1, 226.77, 0: 4; 1: 184; 2: 128; 3: 20; 4: 7; 5: 3; 
CD4_T_cell_signaling, 495, 11, 18,  543, 0, 5, 1595644, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 117; 3: 22; 4: 8; 5: 4; 
CD4_T_cell_signaling, 856,  9, 23,  544, 0, 5, 1649396, 110173.38, 1, 226.77, 0: 4; 1: 189; 2: 118; 3: 22; 4: 12; 5: 1; 
CD4_T_cell_signaling, 873, 15, 13,  544, 0, 5, 1568166, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 117; 3: 28; 4: 7; 5: 2; 
CD4_T_cell_signaling, 400,  9, 23,  544, 0, 5, 1649651, 110173.38, 1, 226.77, 0: 4; 1: 194; 2: 109; 3: 27; 4: 9; 5: 3; 
CD4_T_cell_signaling, 866,  9, 22,  544, 0, 5, 1595457, 110173.38, 1, 226.77, 0: 4; 1: 189; 2: 118; 3: 26; 4: 4; 5: 5; 
CD4_T_cell_signaling, 538, 15, 13,  544, 0, 5, 1568114, 110173.38, 1, 226.77, 0: 4; 1: 177; 2: 137; 3: 21; 4: 5; 5: 2; 
CD4_T_cell_signaling, 358,  8, 25,  544, 0, 5, 1606488, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 122; 3: 19; 4: 10; 5: 3; 
CD4_T_cell_signaling, 813,  8, 26,  544, 0, 5, 1664335, 110173.38, 1, 226.77, 0: 4; 1: 189; 2: 120; 3: 21; 4: 8; 5: 4; 
CD4_T_cell_signaling, 713,  8, 25,  544, 0, 5, 1606664, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 118; 3: 32; 4: 4; 5: 2; 
CD4_T_cell_signaling, 510, 12, 17,  544, 0, 5, 1626162, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 125; 3: 18; 4: 11; 5: 2; 
CD4_T_cell_signaling, 797, 15, 13,  544, 0, 5, 1568168, 110173.38, 1, 226.77, 0: 4; 1: 190; 2: 121; 3: 16; 4: 11; 5: 4; 
CD4_T_cell_signaling, 992,  8, 24,  544, 0, 5, 1539695, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 126; 3: 17; 4: 10; 5: 3; 
CD4_T_cell_signaling, 478, 12, 17,  544, 0, 5, 1626288, 110173.38, 1, 226.77, 0: 4; 1: 195; 2: 112; 3: 20; 4: 10; 5: 5; 
CD4_T_cell_signaling, 864, 12, 17,  544, 0, 5, 1626362, 110173.38, 1, 226.77, 0: 4; 1: 181; 2: 128; 3: 27; 4: 4; 5: 2; 
CD4_T_cell_signaling, 226, 13, 15,  545, 0, 5, 1568088, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 122; 3: 18; 4: 11; 5: 3; 
CD4_T_cell_signaling, 919, 16, 12,  545, 0, 5, 1539765, 110173.38, 1, 226.77, 0: 4; 1: 183; 2: 130; 3: 17; 4: 9; 5: 3; 
CD4_T_cell_signaling, 467,  8, 24,  545, 0, 5, 1539706, 110173.38, 1, 226.77, 0: 4; 1: 177; 2: 137; 3: 19; 4: 8; 5: 1; 
CD4_T_cell_signaling, 464, 16, 12,  545, 0, 5, 1539730, 110173.38, 1, 226.77, 0: 4; 1: 187; 2: 122; 3: 20; 4: 11; 5: 2; 
CD4_T_cell_signaling, 189, 10, 20,  545, 0, 5, 1606297, 110173.38, 1, 226.77, 0: 4; 1: 187; 2: 124; 3: 16; 4: 13; 5: 2; 
CD4_T_cell_signaling, 401,  8, 26,  545, 0, 5, 1664123, 110173.38, 1, 226.77, 0: 4; 1: 182; 2: 130; 3: 20; 4: 7; 5: 3; 
CD4_T_cell_signaling,  63, 12, 17,  545, 0, 5, 1626199, 110173.38, 1, 226.77, 0: 4; 1: 190; 2: 117; 3: 24; 4: 6; 5: 5; 
CD4_T_cell_signaling, 130, 12, 17,  545, 0, 5, 1626455, 110173.38, 1, 226.77, 0: 4; 1: 183; 2: 127; 3: 23; 4: 6; 5: 3; 
CD4_T_cell_signaling, 492,  8, 26,  545, 0, 5, 1663920, 110173.38, 1, 226.77, 0: 4; 1: 184; 2: 125; 3: 25; 4: 4; 5: 4; 
CD4_T_cell_signaling, 100,  8, 26,  545, 0, 5, 1664267, 110173.38, 1, 226.77, 0: 4; 1: 173; 2: 144; 3: 18; 4: 5; 5: 2; 
CD4_T_cell_signaling,  99, 12, 16,  545, 0, 5, 1539658, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 118; 3: 19; 4: 9; 5: 5; 
CD4_T_cell_signaling,  29,  8, 26,  545, 0, 5, 1664097, 110173.38, 1, 226.77, 0: 4; 1: 184; 2: 128; 3: 16; 4: 13; 5: 1; 
CD4_T_cell_signaling, 573,  8, 25,  545, 0, 5, 1606431, 110173.38, 1, 226.77, 0: 4; 1: 189; 2: 116; 3: 27; 4: 7; 5: 3; 
CD4_T_cell_signaling, 323, 15, 13,  545, 0, 5, 1568132, 110173.38, 1, 226.77, 0: 4; 1: 182; 2: 128; 3: 22; 4: 9; 5: 1; 
CD4_T_cell_signaling, 547,  8, 24,  545, 0, 5, 1539705, 110173.38, 1, 226.77, 0: 4; 1: 182; 2: 128; 3: 23; 4: 7; 5: 2; 
CD4_T_cell_signaling, 602,  8, 26,  545, 0, 5, 1664287, 110173.38, 1, 226.77, 0: 4; 1: 190; 2: 112; 3: 30; 4: 9; 5: 1; 
CD4_T_cell_signaling, 576,  9, 22,  545, 0, 5, 1595621, 110173.38, 1, 226.77, 0: 4; 1: 187; 2: 122; 3: 20; 4: 11; 5: 2; 
CD4_T_cell_signaling, 336,  8, 26,  545, 0, 5, 1664099, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 122; 3: 24; 4: 7; 5: 3; 
CD4_T_cell_signaling, 850,  9, 21,  545, 0, 5, 1527876, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 123; 3: 22; 4: 8; 5: 3; 
CD4_T_cell_signaling, 811,  9, 21,  545, 0, 5, 1527876, 110173.38, 1, 226.77, 0: 4; 1: 183; 2: 127; 3: 22; 4: 8; 5: 2; 
CD4_T_cell_signaling, 912, 12, 16,  546, 0, 5, 1539656, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 115; 3: 23; 4: 9; 5: 4; 
CD4_T_cell_signaling, 909,  8, 26,  546, 0, 5, 1664484, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 121; 3: 18; 4: 13; 5: 2; 
CD4_T_cell_signaling, 322,  8, 25,  546, 0, 5, 1606479, 110173.38, 1, 226.77, 0: 4; 1: 187; 2: 118; 3: 26; 4: 10; 5: 1; 
CD4_T_cell_signaling, 224,  8, 26,  546, 0, 5, 1664246, 110173.38, 1, 226.77, 0: 4; 1: 178; 2: 135; 3: 20; 4: 7; 5: 2; 
CD4_T_cell_signaling, 208,  9, 23,  546, 0, 5, 1649680, 110173.38, 1, 226.77, 0: 4; 1: 185; 2: 126; 3: 17; 4: 12; 5: 2; 
CD4_T_cell_signaling, 908, 14, 14,  546, 0, 5, 1583836, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 124; 3: 16; 4: 8; 5: 6; 
CD4_T_cell_signaling, 159, 16, 12,  546, 0, 5, 1539682, 110173.38, 1, 226.77, 0: 4; 1: 181; 2: 126; 3: 29; 4: 4; 5: 2; 
CD4_T_cell_signaling,  90,  9, 22,  546, 0, 5, 1595607, 110173.38, 1, 226.77, 0: 4; 1: 197; 2: 103; 3: 29; 4: 9; 5: 4; 
CD4_T_cell_signaling, 165,  8, 25,  546, 0, 5, 1606663, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 112; 3: 26; 4: 12; 5: 1; 
CD4_T_cell_signaling, 368,  8, 24,  546, 0, 5, 1539718, 110173.38, 1, 226.77, 0: 4; 1: 178; 2: 132; 3: 25; 4: 6; 5: 1; 
CD4_T_cell_signaling, 641,  8, 25,  546, 0, 5, 1606474, 110173.38, 1, 226.77, 0: 4; 1: 190; 2: 112; 3: 30; 4: 8; 5: 2; 
CD4_T_cell_signaling, 277,  8, 24,  546, 0, 5, 1539716, 110173.38, 1, 226.77, 0: 4; 1: 182; 2: 126; 3: 25; 4: 8; 5: 1; 
CD4_T_cell_signaling, 276, 15, 13,  546, 0, 5, 1568222, 110173.38, 1, 226.77, 0: 4; 1: 187; 2: 124; 3: 16; 4: 12; 5: 3; 
CD4_T_cell_signaling, 274, 15, 13,  546, 0, 5, 1568236, 110173.38, 1, 226.77, 0: 4; 1: 177; 2: 136; 3: 20; 4: 8; 5: 1; 
CD4_T_cell_signaling,  74, 13, 15,  546, 0, 5, 1568206, 110173.38, 1, 226.77, 0: 4; 1: 182; 2: 128; 3: 22; 4: 8; 5: 2; 
CD4_T_cell_signaling, 271, 10, 20,  546, 0, 5, 1606658, 110173.38, 1, 226.77, 0: 4; 1: 183; 2: 128; 3: 19; 4: 10; 5: 2; 
CD4_T_cell_signaling, 678, 12, 17,  546, 0, 5, 1626250, 110173.38, 1, 226.77, 0: 4; 1: 182; 2: 126; 3: 26; 4: 6; 5: 2; 
CD4_T_cell_signaling, 343, 14, 14,  547, 0, 5, 1583795, 110173.38, 1, 226.77, 0: 4; 1: 178; 2: 136; 3: 17; 4: 9; 5: 2; 
CD4_T_cell_signaling,  24,  8, 24,  547, 0, 5, 1539643, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 121; 3: 23; 4: 10; 5: 2; 
CD4_T_cell_signaling, 535, 13, 15,  547, 0, 5, 1568136, 110173.38, 1, 226.77, 0: 4; 1: 177; 2: 135; 3: 22; 4: 6; 5: 2; 
CD4_T_cell_signaling, 543,  9, 23,  547, 0, 5, 1649555, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 122; 3: 22; 4: 9; 5: 3; 
CD4_T_cell_signaling, 574, 14, 14,  547, 0, 5, 1583814, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 116; 3: 19; 4: 13; 5: 3; 
CD4_T_cell_signaling, 357, 14, 14,  547, 0, 5, 1583771, 110173.38, 1, 226.77, 0: 4; 1: 184; 2: 122; 3: 28; 4: 5; 5: 3; 
CD4_T_cell_signaling, 727, 16, 12,  547, 0, 5, 1539698, 110173.38, 1, 226.77, 0: 4; 1: 182; 2: 129; 3: 20; 4: 8; 5: 3; 
CD4_T_cell_signaling, 748, 14, 14,  547, 0, 5, 1583794, 110173.38, 1, 226.77, 0: 4; 1: 181; 2: 128; 3: 24; 4: 7; 5: 2; 
CD4_T_cell_signaling, 555, 13, 15,  547, 0, 5, 1568072, 110173.38, 1, 226.77, 0: 4; 1: 184; 2: 127; 3: 18; 4: 10; 5: 3; 
CD4_T_cell_signaling, 815, 16, 12,  547, 0, 5, 1539640, 110173.38, 1, 226.77, 0: 4; 1: 179; 2: 130; 3: 25; 4: 7; 5: 1; 
CD4_T_cell_signaling, 415, 15, 13,  547, 0, 5, 1568307, 110173.38, 1, 226.77, 0: 4; 1: 183; 2: 127; 3: 19; 4: 12; 5: 1; 
CD4_T_cell_signaling, 661,  8, 25,  547, 0, 5, 1606700, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 121; 3: 22; 4: 12; 5: 1; 
CD4_T_cell_signaling, 595, 11, 18,  547, 0, 5, 1595454, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 119; 3: 21; 4: 12; 5: 2; 
CD4_T_cell_signaling, 785, 14, 14,  547, 0, 5, 1583590, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 125; 3: 16; 4: 12; 5: 3; 
CD4_T_cell_signaling, 498, 13, 15,  547, 0, 5, 1568123, 110173.38, 1, 226.77, 0: 4; 1: 182; 2: 129; 3: 21; 4: 6; 5: 4; 
CD4_T_cell_signaling, 318, 12, 17,  547, 0, 5, 1626452, 110173.38, 1, 226.77, 0: 4; 1: 192; 2: 115; 3: 21; 4: 8; 5: 6; 
CD4_T_cell_signaling, 290,  9, 23,  547, 0, 5, 1649439, 110173.38, 1, 226.77, 0: 4; 1: 183; 2: 123; 3: 29; 4: 4; 5: 3; 
CD4_T_cell_signaling, 285,  9, 22,  547, 0, 5, 1595152, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 115; 3: 28; 4: 10; 5: 1; 
CD4_T_cell_signaling,  30,  8, 26,  548, 0, 5, 1664034, 110173.38, 1, 226.77, 0: 4; 1: 181; 2: 127; 3: 25; 4: 7; 5: 2; 
CD4_T_cell_signaling, 441,  8, 25,  548, 0, 5, 1606488, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 118; 3: 27; 4: 10; 5: 1; 
CD4_T_cell_signaling,  15,  8, 24,  548, 0, 5, 1539727, 110173.38, 1, 226.77, 0: 4; 1: 184; 2: 122; 3: 25; 4: 10; 5: 1; 
