Seed 1656949570
ARCH 0|F_ID 1|LIMIT 3
before: 
4(255)
Melhor resultado nxn: B_bronchiseptica_and_T_retortaeformis_coinfectio, 375,  6, 10,  237, 0, 4, 470467, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 50; 3: 23; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 451,  4, 14,  287, 0, 7, 442637, 11992.95, 1, 77.38, 0: 6; 1: 47; 2: 39; 3: 20; 4: 16; 5: 5; 6: 1; 7: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 888,  5, 13,  288, 0, 7, 499336, 11992.95, 1, 77.38, 0: 6; 1: 46; 2: 44; 3: 19; 4: 9; 5: 7; 6: 2; 7: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 713,  5, 13,  288, 0, 7, 499519, 11992.95, 1, 77.38, 0: 6; 1: 41; 2: 44; 3: 25; 4: 13; 5: 5; 7: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 404,  5, 13,  291, 0, 7, 499611, 11992.95, 1, 77.38, 0: 6; 1: 45; 2: 43; 3: 21; 4: 8; 5: 8; 6: 3; 7: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 830,  5, 13,  292, 0, 7, 499382, 11992.95, 1, 77.38, 0: 6; 1: 50; 2: 36; 3: 21; 4: 10; 5: 7; 6: 3; 7: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 660,  4, 14,  292, 0, 7, 442630, 11992.95, 1, 77.38, 0: 6; 1: 41; 2: 43; 3: 26; 4: 10; 5: 8; 7: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 382,  4, 14,  293, 0, 7, 442603, 11992.95, 1, 77.38, 0: 6; 1: 41; 2: 46; 3: 21; 4: 14; 5: 3; 6: 2; 7: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 252,  4, 14,  298, 0, 7, 442721, 11992.95, 1, 77.38, 0: 6; 1: 43; 2: 37; 3: 26; 4: 16; 5: 4; 6: 2; 7: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 101,  5, 12,  298, 0, 7, 470505, 11992.95, 1, 77.38, 0: 6; 1: 45; 2: 39; 3: 20; 4: 15; 5: 7; 6: 1; 7: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 991,  9,  6,  306, 0, 7, 427869, 11992.95, 1, 77.38, 0: 6; 1: 43; 2: 42; 3: 17; 4: 13; 5: 9; 6: 4; 7: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  76,  7,  8,  250, 0, 8, 442646, 11992.95, 0, 77.38, 0: 6; 1: 48; 2: 52; 3: 23; 4: 4; 5: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 137,  7,  8,  255, 0, 8, 442679, 11992.95, 0, 77.38, 0: 6; 1: 54; 2: 43; 3: 19; 4: 10; 5: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 539,  8,  7,  256, 0, 8, 442697, 11992.95, 1, 77.38, 0: 6; 1: 51; 2: 47; 3: 21; 4: 5; 5: 4; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 164,  6,  9,  257, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 52; 3: 20; 4: 4; 5: 3; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 319,  7,  8,  258, 0, 8, 442658, 11992.95, 1, 77.38, 0: 6; 1: 49; 2: 52; 3: 17; 4: 6; 5: 3; 7: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 141,  6,  9,  259, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 47; 2: 49; 3: 24; 4: 6; 5: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 779,  7,  8,  259, 0, 8, 442700, 11992.95, 0, 77.38, 0: 6; 1: 51; 2: 43; 3: 23; 4: 10; 5: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 739,  9,  6,  260, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 50; 2: 44; 3: 23; 4: 10; 5: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 576,  8,  7,  260, 0, 8, 442577, 11992.95, 1, 77.38, 0: 6; 1: 53; 2: 43; 3: 20; 4: 8; 5: 3; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 654,  7,  8,  260, 0, 8, 442668, 11992.95, 0, 77.38, 0: 6; 1: 50; 2: 43; 3: 25; 4: 9; 5: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 496,  9,  6,  261, 0, 8, 427869, 11992.95, 0, 77.38, 0: 6; 1: 45; 2: 51; 3: 23; 4: 8; 5: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 186,  7,  8,  262, 0, 8, 442663, 11992.95, 0, 77.38, 0: 6; 1: 53; 2: 40; 3: 21; 4: 12; 5: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 389,  9,  6,  262, 0, 8, 427869, 11992.95, 0, 77.38, 0: 6; 1: 48; 2: 45; 3: 25; 4: 9; 5: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 827,  9,  6,  262, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 53; 2: 41; 3: 21; 4: 10; 5: 2; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 534,  6,  9,  263, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 47; 2: 53; 3: 15; 4: 11; 6: 1; 7: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 820,  7,  8,  263, 0, 8, 442678, 11992.95, 0, 77.38, 0: 6; 1: 49; 2: 42; 3: 27; 4: 9; 5: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 457,  6, 10,  263, 0, 8, 470398, 11992.95, 1, 77.38, 0: 6; 1: 50; 2: 46; 3: 22; 4: 6; 5: 2; 6: 1; 7: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 452,  9,  6,  264, 0, 8, 427869, 11992.95, 0, 77.38, 0: 6; 1: 47; 2: 46; 3: 24; 4: 10; 5: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 239,  6,  9,  264, 0, 8, 427869, 11992.95, 0, 77.38, 0: 6; 1: 46; 2: 49; 3: 21; 4: 11; 5: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 637,  7,  8,  264, 0, 8, 442673, 11992.95, 0, 77.38, 0: 6; 1: 46; 2: 50; 3: 20; 4: 10; 5: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 543,  7,  8,  264, 0, 8, 442671, 11992.95, 0, 77.38, 0: 6; 1: 48; 2: 44; 3: 26; 4: 8; 5: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 516,  8,  7,  264, 0, 8, 442673, 11992.95, 0, 77.38, 0: 6; 1: 48; 2: 46; 3: 22; 4: 10; 5: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 245,  5, 11,  265, 0, 8, 434831, 11992.95, 0, 77.38, 0: 6; 1: 51; 2: 38; 3: 30; 4: 6; 5: 2; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 109,  9,  6,  265, 0, 8, 427869, 11992.95, 0, 77.38, 0: 6; 1: 49; 2: 48; 3: 19; 4: 7; 5: 4; 7: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 372,  8,  7,  266, 0, 8, 442643, 11992.95, 1, 77.38, 0: 6; 1: 53; 2: 41; 3: 20; 4: 9; 5: 3; 6: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 324,  8,  7,  267, 0, 8, 442667, 11992.95, 0, 77.38, 0: 6; 1: 44; 2: 49; 3: 24; 4: 10; 5: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 787,  7,  8,  267, 0, 8, 442674, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 48; 3: 20; 4: 7; 5: 3; 6: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  80,  5, 13,  267, 0, 8, 499396, 11992.95, 0, 77.38, 0: 6; 1: 46; 2: 47; 3: 22; 4: 12; 5: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 676,  9,  6,  267, 0, 8, 427869, 11992.95, 0, 77.38, 0: 6; 1: 45; 2: 48; 3: 23; 4: 11; 5: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 203,  8,  7,  267, 0, 8, 442625, 11992.95, 1, 77.38, 0: 6; 1: 54; 2: 42; 3: 15; 4: 12; 5: 2; 6: 3; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 586,  8,  7,  267, 0, 8, 442600, 11992.95, 1, 77.38, 0: 6; 1: 50; 2: 46; 3: 19; 4: 7; 5: 4; 6: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 850,  9,  6,  268, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 49; 2: 45; 3: 22; 4: 6; 5: 5; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 556,  7,  8,  268, 0, 8, 442634, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 48; 3: 17; 4: 11; 5: 3; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 708,  6, 10,  268, 0, 8, 470506, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 45; 3: 22; 4: 9; 5: 4; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 872,  6,  9,  268, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 41; 2: 54; 3: 24; 4: 7; 5: 1; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 702,  5, 11,  269, 0, 8, 434802, 11992.95, 1, 77.38, 0: 6; 1: 50; 2: 44; 3: 20; 4: 8; 5: 5; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 962,  6,  9,  269, 0, 8, 427869, 11992.95, 0, 77.38, 0: 6; 1: 42; 2: 51; 3: 25; 4: 9; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 541,  5, 12,  269, 0, 8, 470414, 11992.95, 1, 77.38, 0: 6; 1: 47; 2: 48; 3: 18; 4: 11; 5: 4; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 356,  6,  9,  269, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 45; 3: 21; 4: 11; 5: 2; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 945,  6, 10,  269, 0, 8, 470376, 11992.95, 0, 77.38, 0: 6; 1: 48; 2: 44; 3: 22; 4: 12; 5: 1; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 758,  8,  7,  270, 0, 8, 442716, 11992.95, 0, 77.38, 0: 6; 1: 48; 2: 42; 3: 22; 4: 16; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 464,  6,  9,  270, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 51; 2: 44; 3: 20; 4: 6; 5: 4; 6: 2; 7: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 840,  9,  6,  270, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 49; 2: 44; 3: 19; 4: 12; 5: 4; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 930,  9,  6,  270, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 51; 2: 39; 3: 25; 4: 8; 5: 4; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 778,  6,  9,  270, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 44; 2: 50; 3: 22; 4: 9; 5: 2; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 810,  9,  6,  271, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 47; 2: 52; 3: 13; 4: 12; 6: 3; 7: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 986,  9,  6,  271, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 50; 2: 40; 3: 24; 4: 9; 5: 5; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  50,  8,  7,  271, 0, 8, 442609, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 46; 3: 20; 4: 9; 5: 3; 6: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 175,  8,  7,  271, 0, 8, 442639, 11992.95, 0, 77.38, 0: 6; 1: 48; 2: 43; 3: 23; 4: 10; 5: 4; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  84,  6, 10,  271, 0, 8, 470516, 11992.95, 1, 77.38, 0: 6; 1: 51; 2: 43; 3: 17; 4: 11; 5: 5; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 693,  6, 10,  271, 0, 8, 470526, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 47; 3: 18; 4: 9; 5: 5; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 168,  6, 10,  271, 0, 8, 470454, 11992.95, 1, 77.38, 0: 6; 1: 52; 2: 44; 3: 16; 4: 7; 5: 7; 6: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 166,  9,  6,  271, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 50; 2: 42; 3: 20; 4: 12; 5: 3; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 869,  5, 13,  271, 0, 8, 499606, 11992.95, 1, 77.38, 0: 6; 1: 54; 2: 34; 3: 26; 4: 10; 5: 3; 8: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 310,  5, 12,  272, 0, 8, 470428, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 44; 3: 22; 4: 10; 5: 2; 6: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 971,  6, 10,  272, 0, 8, 470482, 11992.95, 1, 77.38, 0: 6; 1: 49; 2: 48; 3: 18; 4: 6; 5: 4; 6: 1; 7: 1; 8: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 334,  7,  8,  272, 0, 8, 442657, 11992.95, 0, 77.38, 0: 6; 1: 42; 2: 49; 3: 27; 4: 8; 5: 1; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 277,  6,  9,  272, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 46; 2: 46; 3: 23; 4: 9; 5: 3; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 420,  6, 10,  272, 0, 8, 470345, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 47; 3: 21; 4: 4; 5: 6; 6: 1; 7: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  46,  6,  9,  272, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 48; 3: 14; 4: 12; 5: 6; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 916,  8,  7,  272, 0, 8, 442632, 11992.95, 0, 77.38, 0: 6; 1: 47; 2: 44; 3: 26; 4: 6; 5: 4; 7: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 632,  7,  8,  273, 0, 8, 442694, 11992.95, 0, 77.38, 0: 6; 1: 45; 2: 49; 3: 19; 4: 12; 5: 1; 6: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 767,  5, 11,  273, 0, 8, 434791, 11992.95, 1, 77.38, 0: 6; 1: 54; 2: 39; 3: 16; 4: 10; 5: 9; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 192,  5, 13,  273, 0, 8, 499509, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 43; 3: 25; 4: 6; 5: 5; 7: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 795,  9,  6,  273, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 49; 2: 47; 3: 17; 4: 8; 5: 5; 7: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 811,  9,  6,  273, 0, 8, 427869, 11992.95, 0, 77.38, 0: 6; 1: 41; 2: 53; 3: 20; 4: 12; 5: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 780,  6, 10,  273, 0, 8, 470493, 11992.95, 1, 77.38, 0: 6; 1: 52; 2: 39; 3: 22; 4: 9; 5: 3; 6: 3; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 695,  6, 10,  273, 0, 8, 470656, 11992.95, 0, 77.38, 0: 6; 1: 43; 2: 48; 3: 23; 4: 13; 5: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 969,  7,  8,  273, 0, 8, 442694, 11992.95, 0, 77.38, 0: 6; 1: 41; 2: 49; 3: 26; 4: 12; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 907,  9,  6,  273, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 49; 2: 46; 3: 17; 4: 10; 5: 4; 6: 1; 7: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 537,  6, 10,  273, 0, 8, 470346, 11992.95, 1, 77.38, 0: 6; 1: 51; 2: 42; 3: 19; 4: 10; 5: 4; 6: 1; 7: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 927,  5, 11,  273, 0, 8, 434829, 11992.95, 1, 77.38, 0: 6; 1: 46; 2: 49; 3: 17; 4: 10; 5: 6; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 846,  7,  8,  273, 0, 8, 442658, 11992.95, 1, 77.38, 0: 6; 1: 51; 2: 42; 3: 20; 4: 8; 5: 4; 6: 3; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 997,  6,  9,  274, 0, 8, 427869, 11992.95, 0, 77.38, 0: 6; 1: 43; 2: 47; 3: 25; 4: 12; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 946,  6,  9,  274, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 46; 2: 46; 3: 23; 4: 8; 5: 3; 6: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 500,  8,  7,  274, 0, 8, 442687, 11992.95, 1, 77.38, 0: 6; 1: 44; 2: 49; 3: 20; 4: 12; 5: 2; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 181,  6, 10,  274, 0, 8, 470457, 11992.95, 0, 77.38, 0: 6; 1: 52; 2: 41; 3: 18; 4: 9; 5: 7; 7: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 171,  5, 11,  274, 0, 8, 434842, 11992.95, 1, 77.38, 0: 6; 1: 52; 2: 37; 3: 24; 4: 9; 5: 5; 7: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 705,  8,  7,  274, 0, 8, 442694, 11992.95, 1, 77.38, 0: 6; 1: 50; 2: 45; 3: 16; 4: 13; 5: 1; 6: 1; 7: 1; 8: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 443,  5, 12,  275, 0, 8, 470501, 11992.95, 1, 77.38, 0: 6; 1: 49; 2: 41; 3: 21; 4: 12; 5: 5; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 984,  8,  7,  275, 0, 8, 442598, 11992.95, 1, 77.38, 0: 6; 1: 50; 2: 43; 3: 17; 4: 13; 5: 3; 6: 1; 7: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 773,  4, 14,  275, 0, 8, 442654, 11992.95, 1, 77.38, 0: 6; 1: 49; 2: 39; 3: 25; 4: 11; 5: 3; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 919,  5, 12,  275, 0, 8, 470496, 11992.95, 1, 77.38, 0: 6; 1: 52; 2: 33; 3: 28; 4: 10; 5: 5; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  78,  6,  9,  276, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 44; 2: 55; 3: 16; 4: 6; 5: 3; 6: 2; 7: 1; 8: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 681,  4, 14,  276, 0, 8, 442689, 11992.95, 1, 77.38, 0: 6; 1: 49; 2: 42; 3: 22; 4: 10; 5: 2; 6: 2; 7: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 318,  5, 11,  276, 0, 8, 434786, 11992.95, 1, 77.38, 0: 6; 1: 52; 2: 41; 3: 20; 4: 6; 5: 6; 6: 1; 7: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 782,  7,  8,  276, 0, 8, 442653, 11992.95, 1, 77.38, 0: 6; 1: 53; 2: 41; 3: 17; 4: 9; 5: 4; 6: 2; 7: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 728,  6,  9,  276, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 52; 2: 36; 3: 23; 4: 13; 5: 3; 8: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 901,  5, 11,  277, 0, 8, 434804, 11992.95, 1, 77.38, 0: 6; 1: 49; 2: 40; 3: 20; 4: 15; 5: 4; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 484,  5, 12,  277, 0, 8, 470425, 11992.95, 1, 77.38, 0: 6; 1: 42; 2: 51; 3: 21; 4: 8; 5: 6; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 719,  6,  9,  277, 0, 8, 427869, 11992.95, 0, 77.38, 0: 6; 1: 46; 2: 43; 3: 24; 4: 10; 5: 5; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 272,  8,  7,  277, 0, 8, 442662, 11992.95, 1, 77.38, 0: 6; 1: 43; 2: 51; 3: 17; 4: 12; 5: 5; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 394,  9,  6,  277, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 47; 2: 45; 3: 18; 4: 14; 5: 2; 6: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 882,  5, 13,  278, 0, 8, 499509, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 43; 3: 21; 4: 10; 5: 4; 6: 1; 7: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  88,  8,  7,  278, 0, 8, 442623, 11992.95, 1, 77.38, 0: 6; 1: 49; 2: 47; 3: 13; 4: 10; 5: 6; 6: 3; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 710,  8,  7,  279, 0, 8, 442659, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 48; 3: 12; 4: 12; 5: 5; 6: 3; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 337,  9,  6,  279, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 46; 2: 43; 3: 24; 4: 11; 5: 2; 6: 1; 7: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 821,  8,  7,  279, 0, 8, 442595, 11992.95, 1, 77.38, 0: 6; 1: 41; 2: 46; 3: 31; 4: 6; 5: 3; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 549,  7,  8,  279, 0, 8, 442641, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 45; 3: 14; 4: 14; 5: 7; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 475,  6, 10,  279, 0, 8, 470596, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 46; 3: 16; 4: 11; 5: 5; 7: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 564,  4, 14,  280, 0, 8, 442632, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 39; 3: 26; 4: 7; 5: 8; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 170,  5, 11,  280, 0, 8, 434801, 11992.95, 0, 77.38, 0: 6; 1: 41; 2: 46; 3: 26; 4: 14; 5: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 960,  9,  6,  280, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 47; 2: 50; 3: 11; 4: 12; 5: 4; 6: 4; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 502,  5, 13,  280, 0, 8, 499386, 11992.95, 1, 77.38, 0: 6; 1: 44; 2: 48; 3: 19; 4: 11; 5: 5; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 421,  4, 14,  280, 0, 8, 442661, 11992.95, 1, 77.38, 0: 6; 1: 45; 2: 44; 3: 24; 4: 10; 5: 3; 6: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 601,  4, 14,  281, 0, 8, 442649, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 39; 3: 23; 4: 13; 5: 4; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 650,  4, 14,  281, 0, 8, 442650, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 41; 3: 18; 4: 17; 5: 3; 6: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 638,  4, 14,  281, 0, 8, 442677, 11992.95, 1, 77.38, 0: 6; 1: 46; 2: 42; 3: 25; 4: 9; 5: 4; 6: 2; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 667,  9,  6,  281, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 51; 2: 41; 3: 17; 4: 10; 5: 5; 6: 4; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 144,  4, 14,  281, 0, 8, 442651, 11992.95, 1, 77.38, 0: 6; 1: 46; 2: 43; 3: 21; 4: 12; 5: 6; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 675,  6,  9,  281, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 54; 2: 37; 3: 15; 4: 13; 5: 7; 6: 1; 7: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 353,  9,  6,  281, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 43; 2: 50; 3: 18; 4: 12; 5: 3; 6: 1; 7: 1; 8: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 591,  9,  6,  281, 0, 8, 427869, 11992.95, 1, 77.38, 0: 6; 1: 49; 2: 45; 3: 15; 4: 12; 5: 4; 6: 1; 7: 1; 8: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 700,  5, 11,  281, 0, 8, 434822, 11992.95, 1, 77.38, 0: 6; 1: 46; 2: 41; 3: 25; 4: 10; 5: 6; 8: 1; 
